Title,Link
[테크칼럼] 놀랍고 혁신적인 보안 기술 ‘엔터프라이즈 브라우저’,https://www.boannews.com/media/view.asp?idx=133934&page=1&kind=6
위험 수위 넘어 급속도로 확산되고 있는 딥페이크 공포, 어떻게 대응해야 하나,https://www.boannews.com/media/view.asp?idx=133899&page=1&kind=1
[제품리뷰] 티피링크, 무료 클라우드 기반 비디오 관리 시스템,https://www.boannews.com/media/view.asp?idx=133850&page=1&kind=3
FBI는 어떻게 사이버 범죄자들을 소탕했을까?,https://www.boannews.com/media/view.asp?idx=133902&page=1&kind=2
한국사이버안보학회, 2024년 연례학술대회 개최,https://www.boannews.com/media/view.asp?idx=133929&page=1&kind=2
[인터뷰] “또 ‘보안’ 인공지능? 아니, 이번에는 조금 다를지도” 글림스의 자신감,https://www.boannews.com/media/view.asp?idx=133858&page=1&kind=3
[오늘의 보안 영어] shore up,https://www.boannews.com/media/view.asp?idx=133926&page=1&kind=1
악명 높은 정보 탈취형 멀웨어 레드라인과 메타, 국제 공조로 인프라 잃어,https://www.boannews.com/media/view.asp?idx=133925&page=1&kind=1
사이버패턴의 취약점 발견되자 활동량 크게 늘린 속스 랜섬웨어,https://www.boannews.com/media/view.asp?idx=133924&page=1&kind=1
여러 오픈소스 인공지능 모델에 영향주는 강력한 취약점 40여 개 발견돼,https://www.boannews.com/media/view.asp?idx=133923&page=1&kind=1
안랩, 임직원 대상 ‘2025년 알아야 할 공정거래 이슈’ 특강 진행,https://www.boannews.com/media/view.asp?idx=133959&page=1&kind=3
TTA, 지능형 홈 국제 표준 컨퍼런스 개최 및 CSA와 업무협약 체결,https://www.boannews.com/media/view.asp?idx=133958&page=1&kind=2
하이크비전, 2024 AIoT 국제전시회에서 AI 기반 물류와 산업안전 및 교육 솔루션 소개,https://www.boannews.com/media/view.asp?idx=133953&page=1&kind=3
[인사] 방위산업공제조합, 김희철 신임 상근부이사장 선임,https://www.boannews.com/media/view.asp?idx=133964&page=1&kind=2
화웨이, 아세안재단-SEAMEO와 ‘디지털 인재 서밋 2024’ 개최,https://www.boannews.com/media/view.asp?idx=133955&page=1&kind=3
KITRI, 미래 보안 전문가를 위한 ‘사이버 가디언즈 콘퍼런스’ 성료,https://www.boannews.com/media/view.asp?idx=133936&page=1&kind=2
조달청, 공공시설물 설계검토 민간 전문위원 선정,https://www.boannews.com/media/view.asp?idx=133931&page=1&kind=2
카이스트 사이버보안연구센터, 국군방첩사령부 정보보호단 집체교육,https://www.boannews.com/media/view.asp?idx=133932&page=1&kind=2
에브리존, 일본 파이오플랫폼과 ‘화이트디펜더’ 현지 총판 계약 체결,https://www.boannews.com/media/view.asp?idx=133928&page=1&kind=3
울산경찰청, 투자리딩방 해외 콜센터 상담원·모집총책 등 범죄조직원 검거,https://www.boannews.com/media/view.asp?idx=133927&page=1&kind=1
수원시, 핼러윈데이 앞두고 인파관리용 AI 카메라 가동... 사고 예방 총력,https://www.boannews.com/media/view.asp?idx=133912&page=1&kind=2
평택시, AI 관련 산업부 공모 사업 선정돼 45억 확보,https://www.boannews.com/media/view.asp?idx=133914&page=1&kind=2
광주시교육청, ‘2024 AI광주미래교육박람회’ 개최,https://www.boannews.com/media/view.asp?idx=133911&page=1&kind=2
KAIT-메가스터디 컴퓨터아카데미, AI·메타버스 인재 육성 위해 맞손,https://www.boannews.com/media/view.asp?idx=133910&page=1&kind=2
서울의 공원, 더 안전하게!…서울시·서울경찰청 합동 공원 450여곳 안전 점검,https://www.boannews.com/media/view.asp?idx=133913&page=1&kind=2
부산시, 제조업 현장에 AI 자율제조 기술을 심어 체질 개선에 나선다,https://www.boannews.com/media/view.asp?idx=133915&page=1&kind=2
삼성전자, ‘삼성 개발자 콘퍼런스 코리아 2024’ 11월 개최,https://www.boannews.com/media/view.asp?idx=133909&page=1&kind=3
개인정보위, 제2기 개인정보규제심사위원회 민간 위원 위촉,https://www.boannews.com/media/view.asp?idx=133901&page=1&kind=2
교육부, 교원양성대학의 디지털 교육 역량 강화한다,https://www.boannews.com/media/view.asp?idx=133908&page=1&kind=2
고용부, 디지털 선도기업에게 ‘직접’ 배우고 취업하세요,https://www.boannews.com/media/view.asp?idx=133907&page=1&kind=2
행안부, ‘제8회 아·태 지역 지속가능발전목표 심포지엄’ 개최,https://www.boannews.com/media/view.asp?idx=133906&page=2&kind=2
과기정통부, GS 인증 수요 분산 위한 인증기관 인증 분야 확대,https://www.boannews.com/media/view.asp?idx=133905&page=2&kind=2
과기정통부, ‘모바일 한국 2024’ 개최,https://www.boannews.com/media/view.asp?idx=133904&page=2&kind=2
챗GPT의 안전장치 무력화시키는 탈옥 공격 기법 개발돼,https://www.boannews.com/media/view.asp?idx=133922&page=2&kind=1
슬랙 광고 클릭하면 설치되는 멀버타이징 공격... 리디렉션 기법 악용,https://www.boannews.com/media/view.asp?idx=133916&page=2&kind=1
디씨피, 에스넷시스템과 AI·클라우드 인프라 사업 협력 MOU 체결,https://www.boannews.com/media/view.asp?idx=133917&page=2&kind=3
인섹시큐리티, 모바일 악성코드 분석 ‘마에스트로 모바일 포렌식’ 출시,https://www.boannews.com/media/view.asp?idx=133918&page=2&kind=3
장철민 의원, 10월에 낸다던 ‘딥페이크 범정부 대책’ 촉구,https://www.boannews.com/media/view.asp?idx=133920&page=2&kind=2
소방청, 제주특별자치도에서 긴급구조종합훈련 실시,https://www.boannews.com/media/view.asp?idx=133921&page=2&kind=2
[인사] 더퍼블릭,https://www.boannews.com/media/view.asp?idx=133919&page=2&kind=3
국방혁신기술보안협회-지상작전사령부 지상정보여단, 드론봇 전투체계 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=133885&page=2&kind=2
LG유플러스, 마곡에 네트워크·사이버보안센터 포함한 통합관제센터 공개,https://www.boannews.com/media/view.asp?idx=133898&page=2&kind=3
지난해 국내 정보보호 산업 총 매출액 16조 8,000억원... 전년대비 4% 증가,https://www.boannews.com/media/view.asp?idx=133896&page=2&kind=2
과기정통부, ITU WTSA-24 성공적 마무리... 차기 의장단 8석 확보,https://www.boannews.com/media/view.asp?idx=133897&page=2&kind=2
