Title,Link
제4차 한-영 사이버정책협의회 개최... 사이버 위협 대응 협력 강화 논의,https://www.boannews.com/media/view.asp?idx=134155&page=1&kind=2
[긴급] 전국 법원 홈페이지 대부분 접속불가... 디도스 공격 추정,https://www.boannews.com/media/view.asp?idx=134151&page=1&kind=1
일본도 친러 성향 디도스 공격 받아... 디도스·랜섬웨어·피싱 피해현황은?,https://www.boannews.com/media/view.asp?idx=134137&page=1&kind=1
알라후아크바르 랜섬웨어, 랜섬웨어 감염시켜 놓고 복구 비활성화까지,https://www.boannews.com/media/view.asp?idx=134136&page=1&kind=1
[기획특집] 지능형 CCTV 등 한강교량 자살위기자 대응현황 집중진단,https://www.boannews.com/media/view.asp?idx=133951&page=1&kind=2
2024년도 한국융합보안학회 추계학술대회 및 워크숍 7일 개최,https://www.boannews.com/media/view.asp?idx=134120&page=1&kind=2
경찰, ‘비트코인 채굴기 임대 투자’ 빙자한 사기조직 80명 검거,https://www.boannews.com/media/view.asp?idx=134116&page=1&kind=1
지니언스의 지니안 낙에서 정보 유노출 취약점 발견... 지난 4월 이미 보안패치 배포 완료,https://www.boannews.com/media/view.asp?idx=134115&page=1&kind=1
캐나다 법무부, 스노우플레이크 해킹 배후 알렉산더 ‘코너’ 무카 체포,https://www.boannews.com/media/view.asp?idx=134112&page=1&kind=1
ETRI, 창업기업과 네트워킹으로 창업 촉진한다,https://www.boannews.com/media/view.asp?idx=134085&page=1&kind=2
테르텐, 일본 ASOCIO 디지털 서밋 2024에서 사이버 보안 어워드 수상,https://www.boannews.com/media/view.asp?idx=134154&page=1&kind=3
원모어시큐리티, 올인원 안전 플랫폼 ‘원모어아이 v2.0’ GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=134150&page=1&kind=3
블랙베리 QNX, 현대모비스 차세대 디지털 콕핏 플랫폼에 채택,https://www.boannews.com/media/view.asp?idx=134148&page=1&kind=3
경찰청, 문체부와 공동으로 필리핀에서 불법 IPTV 운영자 검거,https://www.boannews.com/media/view.asp?idx=134149&page=1&kind=1
앤앤에스피-지니언스 손잡고 포스트 망분리 시대 금융 보안 대응책 내놔,https://www.boannews.com/media/view.asp?idx=134152&page=1&kind=3
블랙베리 QNX, 텔레칩스 차세대 디지털 콧핏 개발 플랫폼 선정,https://www.boannews.com/media/view.asp?idx=134147&page=1&kind=3
과기정통부, 민·관 합동으로 미래산업 사이버 보안 적극 대응 나서,https://www.boannews.com/media/view.asp?idx=134146&page=1&kind=2
한국, 아·태 침해사고대응팀협의회(APCERT) 의장국 재당선,https://www.boannews.com/media/view.asp?idx=134123&page=1&kind=2
과기정통부, ‘제14회 소프트웨어 개발보안 학술대회’ 개최,https://www.boannews.com/media/view.asp?idx=134124&page=1&kind=2
폴리텍, 제8회 벤처창업아이템 경진대회 개최,https://www.boannews.com/media/view.asp?idx=134122&page=1&kind=2
인공지능 대전환 시대, 새로운 돌파구를 열다!,https://www.boannews.com/media/view.asp?idx=134125&page=1&kind=2
영국 옥스퍼드대, 사이버보안 국내 최고 수준 인력 양성 함께한다,https://www.boannews.com/media/view.asp?idx=134126&page=1&kind=2
범정부 디지털 행정서비스 안정성 도약 위해 정부기관 간 소통·협력의 장 마련,https://www.boannews.com/media/view.asp?idx=134127&page=1&kind=2
과기정통부, 온라인 플랫폼 사와 상생협력 강화 방안 논의,https://www.boannews.com/media/view.asp?idx=134128&page=1&kind=2
인공지능 시대, 문화 향유의 새로운 도약 논하다,https://www.boannews.com/media/view.asp?idx=134129&page=1&kind=2
기획재정부, ‘제7회 디지털 이코노미 포럼’ 개최,https://www.boannews.com/media/view.asp?idx=134130&page=1&kind=2
KT, 데이터브릭스와 데이터·AI 혁신 가속화 위해 협력,https://www.boannews.com/media/view.asp?idx=134131&page=1&kind=3
SKT, 3대 AI 사업 본격 수익화로 글로벌 AI 컴퍼니 전환 앞당긴다,https://www.boannews.com/media/view.asp?idx=134132&page=1&kind=3
지란지교데이터, SWITCH 2024 서 해외 판로 확대 나섰다,https://www.boannews.com/media/view.asp?idx=134144&page=1&kind=3
안랩 V3 모바일 시큐리티, 2024년 9월 ‘AV-TEST’ 만점 기록하며 68회째 인증 획득,https://www.boannews.com/media/view.asp?idx=134143&page=1&kind=3
한화비전, 성남시 저소득 아동과 온정 가득한 ‘캠크닉’ 성료,https://www.boannews.com/media/view.asp?idx=134139&page=2&kind=3
