Title,Link
차세대 차량 개발 위한 블랙베리 QNX의 미들웨어 ‘QNX SDP 8.0’,https://www.boannews.com/media/view.asp?idx=134201&page=1&kind=3
[한 주를 관통하는 보안 소식] 2024년 11월 1주차, ‘트럼프의 불길’,https://www.boannews.com/media/view.asp?idx=134133&page=1&kind=1
[사회&보안] 먹고 난 자리를 치우고 가라는 식당의 신박한 셀프서비스와 보안,https://www.boannews.com/media/view.asp?idx=134114&page=1&kind=1
치명적 드레이텍 취약점 공개 한 달, 90만대 이상 라우터 여전히 위협 노출,https://www.boannews.com/media/view.asp?idx=134192&page=1&kind=1
2024 한국융합보안학회 추계학술대회 개최... 국방·융합·사이버·에너지ICT 보안 분야 논의,https://www.boannews.com/media/view.asp?idx=134191&page=1&kind=2
친러시아 해킹조직, 스마트팜 등 국내 원격제어 시스템 해킹!,https://www.boannews.com/media/view.asp?idx=134190&page=1&kind=1
[오늘의 보안 영어] knife-edge,https://www.boannews.com/media/view.asp?idx=134184&page=1&kind=1
캐나다 정부, 틱톡을 국가 안보 위협이라고 지정하며 서비스 금지시켜,https://www.boannews.com/media/view.asp?idx=134183&page=1&kind=1
새로운 공격 방식 들고 나타난 북한 해커들, 맥OS 노려,https://www.boannews.com/media/view.asp?idx=134182&page=1&kind=1
딥페이크 이용, ‘자녀 납치했다’ 사기 주의,https://www.boannews.com/media/view.asp?idx=134156&page=1&kind=1
속초시, 도내 최초 생성형 AI 전 부서 확대 운영,https://www.boannews.com/media/view.asp?idx=134200&page=1&kind=2
카카오-KISA, 중소사업자 대상 개인정보 보호 온라인 교육 진행,https://www.boannews.com/media/view.asp?idx=134199&page=1&kind=2
경기도, 엔비디아와 손잡고 도내 AI 스타트업 육성 나서,https://www.boannews.com/media/view.asp?idx=134198&page=1&kind=2
LG유플러스, 핵심 사업 영역 AX 성과 2024년 3분기 매출 3조8.013억원 달성,https://www.boannews.com/media/view.asp?idx=134197&page=1&kind=3
TTA, 무인정보단말기 접근성 향상 위한 인터페이스 요구사항 표준화 추진,https://www.boannews.com/media/view.asp?idx=134196&page=1&kind=2
LG전자, IT로 장애의 벽 허문다,https://www.boannews.com/media/view.asp?idx=134195&page=1&kind=3
대학생 창의력과 공공데이터가 만나 사회 현안을 해결한다,https://www.boannews.com/media/view.asp?idx=134194&page=1&kind=2
글로벌 기술 수출로 퀀텀 점프 노리는 샌즈랩... “해외 특허 늘린다”,https://www.boannews.com/media/view.asp?idx=134189&page=1&kind=3
개인정보 분쟁조정위원회 ‘제54회 전체회의’ 개최,https://www.boannews.com/media/view.asp?idx=134186&page=1&kind=2
‘한국항공보안학회 창립 10주년 기념 추계학술대회’ 개최,https://www.boannews.com/media/view.asp?idx=134188&page=1&kind=2
로백스-한국항공보안학회, 항공보안 법령 개선 위한 업무협약 체결,https://www.boannews.com/media/view.asp?idx=134187&page=1&kind=2
이노뎁, 과테말라시티에 AI 관제 솔루션 공급...해외 비즈니스 본격화,https://www.boannews.com/media/view.asp?idx=134185&page=1&kind=3
NIA, 대구 지역 대학생 대상 AI윤리·지식재산권 세미나 개최,https://www.boannews.com/media/view.asp?idx=134169&page=1&kind=2
