Title,Link
최고의 ‘보안 강연자’를 선발하다... ISEC 2024 ‘Best Speaker Award’ 시상식 개최,https://www.boannews.com/media/view.asp?idx=134495&page=1&kind=3
개인정보 유출 사고 대응방안 논의... 공공·민간 협력의 현주소는?,https://www.boannews.com/media/view.asp?idx=134496&page=1&kind=2
MS의 로우코드 플랫폼 파워페이지스, 사용자들의 보안 인식 제고 필요해,https://www.boannews.com/media/view.asp?idx=134494&page=1&kind=1
북한 IT노동자, 가짜 이력서로 서방국 취업해 정보탈취·외화벌이 ‘일거양득’,https://www.boannews.com/media/view.asp?idx=134485&page=1&kind=1
경찰청, 제17회 사이버치안대상 시상식 개최... 김휘강 고려대 교수 대통령 표창,https://www.boannews.com/media/view.asp?idx=134486&page=1&kind=2
트럼프 당선에 일론 머스크 부상까지... AI 시대의 사이버안보 전략 9가지,https://www.boannews.com/media/view.asp?idx=134408&page=1&kind=2
[오늘의 보안 영어] on the spot,https://www.boannews.com/media/view.asp?idx=134493&page=1&kind=1
데이터 분석과 데이터 과학에 널리 사용되는 플랫폼, 스포츠 경기 노려,https://www.boannews.com/media/view.asp?idx=134492&page=1&kind=1
러시아 랜섬웨어 포보스의 운영자, 한국에서 미국으로 인도돼,https://www.boannews.com/media/view.asp?idx=134491&page=1&kind=1
악명 높은 봇넷 엔지오웹, 각종 범죄 인프라 확대시키고 있어,https://www.boannews.com/media/view.asp?idx=134490&page=1&kind=1
개인정보위, 민간과 공동으로 개인정보 보호와 데이터 활용 생태계 조성 방법 찾는다,https://www.boannews.com/media/view.asp?idx=134488&page=1&kind=2
SKT, 신한카드와 AI 기반 사이버금융 범죄 예방 맞손,https://www.boannews.com/media/view.asp?idx=134487&page=1&kind=3
애플, 올해 다섯 번째와 여섯 번째 발견된 제로데이 취약점 패치,https://www.boannews.com/media/view.asp?idx=134489&page=1&kind=1
티피링크 Festa, Wi-Fi 7 천장형 AP 신제품 출시,https://www.boannews.com/media/view.asp?idx=134484&page=1&kind=3
NSHC, 일본 ‘EdgeTech+ 2024’ 초청받아 한국기업으로 참가중,https://www.boannews.com/media/view.asp?idx=134483&page=1&kind=3
관세청, ‘2024 정부혁신 왕중왕전’ 장관상 수상,https://www.boannews.com/media/view.asp?idx=134458&page=1&kind=2
지역 문제를 신기술로 해결... ‘데이터 기반 지역활성화 사업’ 성과공유회 개최,https://www.boannews.com/media/view.asp?idx=134457&page=1&kind=2
자율운항선박 자동 정박 시스템, ‘대한민국 올해의 10대 기계 기술’ 선정,https://www.boannews.com/media/view.asp?idx=134456&page=1&kind=2
