Title,Link
[개인정보 보호법 해석 사례-④] 인사·노무 및 학교의 개인정보 처리 방법은?,https://www.boannews.com/media/view.asp?idx=134541&page=1&kind=2
[정보세계정치학회 칼럼] 데이터·공급망 안보, 신흥위협 대처방안,https://www.boannews.com/media/view.asp?idx=134538&page=1&kind=6
업무 관련 메일로 위장해 유포 중인 악성코드 주의보,https://www.boannews.com/media/view.asp?idx=134530&page=1&kind=3
넘쳐나는 사이버 범죄, 유럽 사이버 범죄 협약 참여 필요성 ‘급부상’,https://www.boannews.com/media/view.asp?idx=134526&page=1&kind=2
테러로부터 안전한 대한민국을 위한 ‘2024 국가대테러발전세미나’ 개최,https://www.boannews.com/media/view.asp?idx=134525&page=1&kind=2
580억원 상당의 가상자산 탈취사건, 북한 해킹그룹 소행으로 드러나,https://www.boannews.com/media/view.asp?idx=134528&page=1&kind=1
거실에서 스마트 TV를 보는 건 우리와 우리 가족만이 아니다,https://www.boannews.com/media/view.asp?idx=133428&page=1&kind=4
과기정통부, 제2회 아세안사이버쉴드 해킹방어대회 11월 19~22일 개최,https://www.boannews.com/media/view.asp?idx=134474&page=1&kind=2
최고의 ‘보안 강연자’를 선발하다... ISEC 2024 ‘Best Speaker Award’ 시상식 개최,https://www.boannews.com/media/view.asp?idx=134495&page=1&kind=3
개인정보 유출 사고 대응방안 논의... 공공·민간 협력의 현주소는?,https://www.boannews.com/media/view.asp?idx=134496&page=1&kind=2
LG유플러스, 신임 CEO로 홍범식 사장 선임... IT 전문가이자 전략가,https://www.boannews.com/media/view.asp?idx=134543&page=1&kind=3
LG CNS, 2025년 정기 임원인사 실시... 헌신균 대표, 사장 승진,https://www.boannews.com/media/view.asp?idx=134542&page=1&kind=3
인터엠, ‘저지연 네트워크 오디오 앰프’로 IR52 장영실상 수상,https://www.boannews.com/media/view.asp?idx=134537&page=1&kind=3
AI 시대의 개인정보보호, 체계적인 리스크 평가·관리 방안 모색,https://www.boannews.com/media/view.asp?idx=134536&page=1&kind=2
벨로크, 2024 파트너스 데이 성료... 협력사와의 파트너십 강화,https://www.boannews.com/media/view.asp?idx=134535&page=1&kind=3
한국요꼬가와, 11월 27일 OT 보안을 위한 웨비나 개최,https://www.boannews.com/media/view.asp?idx=134532&page=1&kind=3
슈프리마, 몰타에서 글로벌 AI 통합 보안 솔루션 기업 선언,https://www.boannews.com/media/view.asp?idx=134534&page=1&kind=3
S2W, 도메인 특화 LLM으로 AI 혁신 이끌어... “분야별 맞춤형 언어 모델, AI 경쟁력 높인다”,https://www.boannews.com/media/view.asp?idx=134533&page=1&kind=3
쿼리파이, 올해의 ‘탑 100 소프트웨어 기업’ 선정,https://www.boannews.com/media/view.asp?idx=134531&page=1&kind=3
