Title,Link
‘수신 메일을 보류 중입니다’ 업무 시스템 사칭한 피싱 공격 주의보,https://www.boannews.com/media/view.asp?idx=134703&page=1&kind=1
연말연시, 콘서트 티켓 양도한다며 입금 요구... 티켓 사기 기승!,https://www.boannews.com/media/view.asp?idx=134704&page=1&kind=1
2024년 빛낸 K-보안 기업과 전문가는? 정보보호대상 및 혁신·R&D 대상의 주인공들,https://www.boannews.com/media/view.asp?idx=134695&page=1&kind=2
[기획특집] 영상보안 기업, 공공조달 시장에서 어떤 활약 펼쳤나,https://www.boannews.com/media/view.asp?idx=134684&page=1&kind=2
[인터뷰] 핀텔 김동기 대표 “AI 영상분석 분야에서 가치 제공하는 국산 SW 기업”,https://www.boannews.com/media/view.asp?idx=134683&page=1&kind=3
데이터 경쟁력 확보 위한 하드 디스크 드라이브의 역할과 가치,https://www.boannews.com/media/view.asp?idx=134679&page=1&kind=3
과기정통부, 미국 국토안보부와 사이버보안 분야 기술협력 강화,https://www.boannews.com/media/view.asp?idx=134686&page=1&kind=2
한국, 전 세계 6번째로 AI안전연구소 개소... 김명주 소장 “글로벌 연대 강화할 것”,https://www.boannews.com/media/view.asp?idx=134692&page=1&kind=2
NFC 악용한 사이버 범죄자들의 새로운 현금화 수법, 고스트탭,https://www.boannews.com/media/view.asp?idx=134694&page=1&kind=1
[오늘의 보안 영어] in droves,https://www.boannews.com/media/view.asp?idx=134691&page=1&kind=1
라온시큐어 박종원 전략기획본부장, ‘블록체인 유공’ 과기정통부 장관 표창,https://www.boannews.com/media/view.asp?idx=134727&page=1&kind=3
슈프리마, 14년 연속 ‘글로벌 Top 50 보안 기업’ 선정,https://www.boannews.com/media/view.asp?idx=134726&page=1&kind=3
스냅태그, ‘2024 정보보호제품 혁신대상’에서 과기정통부 장관상 수상,https://www.boannews.com/media/view.asp?idx=134725&page=1&kind=3
아울시스템즈, 4차산업경영 부문 과기정통부 장관상 수상,https://www.boannews.com/media/view.asp?idx=134702&page=1&kind=3
에스알, 제23회 정보보호 대상 과기정통부 장관상 수상,https://www.boannews.com/media/view.asp?idx=134701&page=1&kind=2
이스트소프트, AI 검색 엔진 서비스 12월 출시 예고... 티저 영상 공개,https://www.boannews.com/media/view.asp?idx=134699&page=1&kind=3
한국건설경영협회, 건설기술연구 우수사례 시상식 개최,https://www.boannews.com/media/view.asp?idx=134700&page=1&kind=3
한국마이크로소프트, AI Transformation Week 개최,https://www.boannews.com/media/view.asp?idx=134698&page=1&kind=3
개인정보보호법학회, ‘Post-GDPR : 개인정보보호 규범의 새로운 지평’ 세미나 개최,https://www.boannews.com/media/view.asp?idx=134697&page=1&kind=2
Korea OTIC, 국내 개방형 무선 접속망 생태계 조성의 중심에 서다,https://www.boannews.com/media/view.asp?idx=134666&page=1&kind=2
KT, ‘AI 마이스터’와 ‘AI 오퍼레이터’ 도입,https://www.boannews.com/media/view.asp?idx=134668&page=1&kind=3
