Title,Link
[한국우주안보학회 칼럼] 우주 사이버 보안의 소버린 확보해야,https://www.boannews.com/media/view.asp?idx=134807&page=1&kind=6
SW 산업인의 날... 아톤 김종서 대표 산업포장, 스패로우 장일수 대표 대통령 표창 등 수상,https://www.boannews.com/media/view.asp?idx=134803&page=1&kind=2
2024년 12월, 물리·정보 보안기업 어떤 인재 찾고 있나,https://www.boannews.com/media/view.asp?idx=134813&page=1&kind=3
[연말기획] 주요 이슈와 사건·사고로 살펴본 2024 대한민국 보안시장①,https://www.boannews.com/media/view.asp?idx=134810&page=1&kind=1
[제품리뷰] 보안 엑스선 검색장비 국산화의 첨병 ‘엠아이케이스캔’,https://www.boannews.com/media/view.asp?idx=134680&page=1&kind=3
정부 및 공공기관 사칭해 ‘체납액 징수’ 관련 피싱·스미싱 유포,https://www.boannews.com/media/view.asp?idx=134808&page=1&kind=1
[오늘의 보안 영어] left out in the cold,https://www.boannews.com/media/view.asp?idx=134800&page=1&kind=1
망가트린 파일을 전파하는, 새로운 피싱 전략 발견돼,https://www.boannews.com/media/view.asp?idx=134799&page=1&kind=1
모스크바의 업체, 인공지능 활용해 가짜뉴스 퍼트리다 적발돼,https://www.boannews.com/media/view.asp?idx=134798&page=1&kind=1
FBI가 현상 수배 걸었던 대형 해커, 러시아에서 체포돼,https://www.boannews.com/media/view.asp?idx=134797&page=1&kind=1
국가인공지능위, 민·관 함께 AI 강국 도약 위한 국가전략 수립 첫발,https://www.boannews.com/media/view.asp?idx=134806&page=1&kind=2
LG유플러스 홍범식 대표 첫 메시지 “더 나은 미래 위해 보안·안전 최우선으로 챙길 것”,https://www.boannews.com/media/view.asp?idx=134809&page=1&kind=3
마이크로소프트, 클라우드 서비스 보안인증제 ‘하’ 등급 인증 획득,https://www.boannews.com/media/view.asp?idx=134805&page=1&kind=3
안랩블록체인컴퍼니, ‘2024 블록체인 유공’ 과기정통부 장관표창 단체 부문 수상,https://www.boannews.com/media/view.asp?idx=134804&page=1&kind=3
S2W, 인터폴과 글로벌 민관공조 강화 논의 “국제사회 치안 강화 위해 맞손”,https://www.boannews.com/media/view.asp?idx=134802&page=1&kind=3
리얼시큐, 투자용 기술평가 ‘TI-3’ 등급 획득,https://www.boannews.com/media/view.asp?idx=134801&page=1&kind=3
[인사] 현대오토에버, 클라우드 사업 가속화... 양승도 상무 영입,https://www.boannews.com/media/view.asp?idx=134796&page=1&kind=3
아우토크립트-LS오토모티브, 차량 사이버보안 협력 위해 MOU 체결,https://www.boannews.com/media/view.asp?idx=134795&page=1&kind=3
