Title,Link
빔, 자사 서비스에서 발견된 취약점 2개에 대한 패치 배포,https://www.boannews.com/media/view.asp?idx=134938&page=1&kind=1
랜섬웨어 그룹 블랙바스타, 영국의 대형 통신사 침해하는 데 성공,https://www.boannews.com/media/view.asp?idx=134937&page=1&kind=1
APT가 APT를 해킹...러시아의 털라, 파키스탄 해커를 이용해,https://www.boannews.com/media/view.asp?idx=134936&page=1&kind=1
백악관, 중국 해커들의 통신망 침해 사실을 처음으로 인정,https://www.boannews.com/media/view.asp?idx=134935&page=1&kind=1
한국제로트러스트위원회 배환국 의장, “제로트러스트는 새로운 보안 패러다임”,https://www.boannews.com/media/view.asp?idx=134918&page=1&kind=2
[속보] 금융보안원, 비상계엄 이후 비상상황 대응 긴급 임원 회의,https://www.boannews.com/media/view.asp?idx=134917&page=1&kind=2
디지털 혁신의 성장 토대, 2024 첨단안전산업인의 밤 성료,https://www.boannews.com/media/view.asp?idx=134907&page=1&kind=2
대한민국항공보안협회, 창립 10주년 기념식과 정기총회 개최,https://www.boannews.com/media/view.asp?idx=134868&page=1&kind=3
HI-Tech Safety Conference 2024, 첨단안전산업 트렌드와 유망 제품을 한자리에,https://www.boannews.com/media/view.asp?idx=134867&page=1&kind=3
[편집국장의 보안레터] 3시간의 ‘비상계엄’ 드라마, 윤 대통령의 ‘운명’은?,https://www.boannews.com/media/view.asp?idx=134903&page=1&kind=1
ETRI, 노코드 기계학습 개발도구 공개한다,https://www.boannews.com/media/view.asp?idx=134927&page=1&kind=2
서울시, 고립위험 4만4,900가구에 ‘스마트돌봄서비스’ 제공,https://www.boannews.com/media/view.asp?idx=134928&page=1&kind=2
인천 서구, ‘개인정보 보호에 관한 조례’ 제정,https://www.boannews.com/media/view.asp?idx=134929&page=1&kind=2
전남대 융합보안핵심인재양성사업단, 에너지 신산업 융합보안 인재 양성 ‘앞장’,https://www.boannews.com/media/view.asp?idx=134930&page=1&kind=2
한국수자원공사, AI 정수장 국제표준 주도,https://www.boannews.com/media/view.asp?idx=134931&page=1&kind=2
기상융합기술과 함께하는 안전한 도시 생활,https://www.boannews.com/media/view.asp?idx=134932&page=1&kind=2
해양경찰청-대검찰청, 과학수사 발전 업무협약 체결,https://www.boannews.com/media/view.asp?idx=134877&page=1&kind=2
외교부, 진화하는 안보 위협 대응 위한 ‘2024 세계신안보포럼’ 개최,https://www.boannews.com/media/view.asp?idx=134878&page=1&kind=2
미리 준비하는 인공지능, 바이오 분야 2026년도 정부연구개발 투자,https://www.boannews.com/media/view.asp?idx=134879&page=1&kind=2
인공지능 신기술 융합교육으로 방송산업의 미래를 열다,https://www.boannews.com/media/view.asp?idx=134880&page=1&kind=2
과기정통부, ‘2024 소프트웨어 인재 페스티벌’ 개최,https://www.boannews.com/media/view.asp?idx=134881&page=1&kind=2
디지털 청년 인재의 꿈, 멘토링으로 결실을 맺다,https://www.boannews.com/media/view.asp?idx=134882&page=1&kind=2
산업부, AI로 전 세계 기술·인재·기업 찾는 Tech-GPT 구축,https://www.boannews.com/media/view.asp?idx=134883&page=1&kind=2
교육부, 반도체 인재 양성을 위한 산학협력 간담회 개최,https://www.boannews.com/media/view.asp?idx=134884&page=1&kind=2
