Title,Link
[오늘의 보안 영어] play into,https://www.boannews.com/media/view.asp?idx=135119&page=1&kind=1
업그레이드 되어 돌아온 블랙바스타 랜섬웨어, 그런데 랜섬웨어는 없다?,https://www.boannews.com/media/view.asp?idx=135115&page=1&kind=1
안드로이드 생태계에서 발견된 새 멀웨어, 배후에 중국 공안이 있다?,https://www.boannews.com/media/view.asp?idx=135114&page=1&kind=1
12개 손해보험사, 개인정보 보호법 위반으로 제재처분... 현대해상화재 등 4곳, 과징금 92억,https://www.boannews.com/media/view.asp?idx=135113&page=1&kind=2
마이크로소프트 애저 다중인증 매커니즘에서 심각한 우회 취약점 발견돼,https://www.boannews.com/media/view.asp?idx=135110&page=1&kind=1
과기정통부, ‘K-제로트러스트 보안모델’ 공공·금융 대상 첫 도입 사례 발표,https://www.boannews.com/media/view.asp?idx=135108&page=1&kind=2
연말연시 ‘유명 기업이나 기관 사칭한 피싱’ 공격 주의보,https://www.boannews.com/media/view.asp?idx=135104&page=1&kind=2
안드로이드 모바일 악성코드 탐지, 클릭 한 번으로 신속 정확하게 잡아낸다,https://www.boannews.com/media/view.asp?idx=135098&page=1&kind=3
[오늘의 보안 영어] at the bequest of,https://www.boannews.com/media/view.asp?idx=135095&page=1&kind=1
[긴급] ‘방첩사 작성한 계엄문건 공개’ 메일, 열어보면 털린다,https://www.boannews.com/media/view.asp?idx=135093&page=1&kind=2
인공지능(AI) 시대의 개인정보 정책 종합 설명회 열린다,https://www.boannews.com/media/view.asp?idx=135112&page=1&kind=2
조달청, 2024년 4분기 G-PASS 기업 65개사 신규 지정,https://www.boannews.com/media/view.asp?idx=135111&page=1&kind=2
FIDO 얼라이언스, 퍼블릭 세미나 통해 패스키 채택 가속화 위한 종합 웹 리소스 공개,https://www.boannews.com/media/view.asp?idx=135109&page=1&kind=3
지재위, 영업비밀·산업기술보호법 등 IP 소송 관할집중 넓혔다,https://www.boannews.com/media/view.asp?idx=135103&page=1&kind=2
이지서티, 반정형 및 실시간 데이터 비식별화 솔루션 GS인증 획득,https://www.boannews.com/media/view.asp?idx=135107&page=1&kind=3
금융보안원, 블랙햇 유럽·아시아 컨퍼런스 연이어 발표 진행,https://www.boannews.com/media/view.asp?idx=135102&page=1&kind=2
네티스, 와이파이6 AX6000급 2.5Gbps 공유기 ‘MEX6000’출시,https://www.boannews.com/media/view.asp?idx=135106&page=1&kind=3
과기정통부, 디지털 안전 선도모델 성과 공유,https://www.boannews.com/media/view.asp?idx=135101&page=1&kind=2
과기정통부, ‘메타버스 얼라이언스 및 자율규제 성과공유회’ 개최,https://www.boannews.com/media/view.asp?idx=135079&page=1&kind=2
과기정통부, 성과 확산과 교류의 장 ‘2024 디지털 혁신 축제’ 개최,https://www.boannews.com/media/view.asp?idx=135080&page=1&kind=2
과수산업의 선도 모델 ‘2025년 스마트 과수원’ 조성은 어디에?,https://www.boannews.com/media/view.asp?idx=135081&page=1&kind=2
