Title,Link
[인터뷰] KISA 홍현표 강원센터장 “정보보호 인프라 미흡한 강원도의 보안인력 양성 촉매제 역할”,https://www.boannews.com/media/view.asp?idx=134793&page=1&kind=2
한화비전이 전망한 2025년 영상보안 분야 주요 트렌드,https://www.boannews.com/media/view.asp?idx=135161&page=1&kind=3
[오늘의 보안 영어] wrest control,https://www.boannews.com/media/view.asp?idx=135159&page=1&kind=1
보안 전문가들을 법적으로 보호하기 위한 움직임, 독일에서 일어나고 있다,https://www.boannews.com/media/view.asp?idx=134301&page=1&kind=1
해커, 아이레슨 사이트 개인정보 100만 건 탈취 주장... 텔레그램 통해 판매 시도,https://www.boannews.com/media/view.asp?idx=135023&page=1&kind=1
[인터뷰] 마에스트로포렌식 김종광 대표, “모바일 포렌식 분야 글로벌 강자로 우뚝 설 것”,https://www.boannews.com/media/view.asp?idx=135135&page=1&kind=3
사이버안보연구소 정경두 대표, “사이버안보 관련 인사이트 제공하는 싱크탱크로 성장”,https://www.boannews.com/media/view.asp?idx=135142&page=1&kind=2
지앤코스타일, 해킹으로 이름·이메일·전화번호 등 개인정보 유출,https://www.boannews.com/media/view.asp?idx=135149&page=1&kind=1
검찰 특수본, 윤 대통령 15일 소환 통보... 소환 거부하고 불출석,https://www.boannews.com/media/view.asp?idx=135151&page=1&kind=1
[속보] 한덕수 대통령 권한대행, “안정적인 국정 운영에 책임 다할 것”,https://www.boannews.com/media/view.asp?idx=135145&page=1&kind=2
클라우드플레어, 2025년 클라우드 보안 주요 전망 발표,https://www.boannews.com/media/view.asp?idx=135163&page=1&kind=3
아카라라이프, 도어락 기반 성장세 두드러져,https://www.boannews.com/media/view.asp?idx=135162&page=1&kind=3
제네텍, 6년 연속 출입통제 분야 2위 기록,https://www.boannews.com/media/view.asp?idx=135160&page=1&kind=3
안랩클라우드메이트, 2024 하반기 사이버 위기 대응 모의훈련의 ‘취약점 탐지대응’ 분야 우수기업 선정,https://www.boannews.com/media/view.asp?idx=135158&page=1&kind=3
안랩, 성남서초등학교 6학년 대상 코딩 교육 프로그램 ‘스마트 코드 크리에이터 교실’ 성료,https://www.boannews.com/media/view.asp?idx=135157&page=1&kind=3
지란지교데이터-서브소프트, AI 기반 데이터 분석·활용 기술 개발 협력,https://www.boannews.com/media/view.asp?idx=135156&page=1&kind=3
지란지교소프트, 보안 실무자 대상 ‘제10회 보안잇 프로그램’ 성료,https://www.boannews.com/media/view.asp?idx=135155&page=1&kind=3
세연테크, 번호판 검지용 IP 카메라 모듈 출시,https://www.boannews.com/media/view.asp?idx=135153&page=1&kind=3
