Title,Link
2025년 사이버위협 전망해보니... 생성형 AI 악용 및 자율주행·스마트팜 등 융복합 시스템 위협 증가,https://www.boannews.com/media/view.asp?idx=135212&page=1&kind=2
최근 발견된 가짜 캡챠 멀버타이징 캠페인, 온라인 광고 산업 전체의 취약점 드러내다,https://www.boannews.com/media/view.asp?idx=135195&page=1&kind=4
[제로트러스트 보안모델 도입사례②] 개방형 모델, 유연한 보안의 새로운 기준 제시,https://www.boannews.com/media/view.asp?idx=135198&page=1&kind=2
한수원 해킹사고 10주년, 북한 사이버 공격은 여전히 현재진행형,https://www.boannews.com/media/view.asp?idx=135196&page=1&kind=1
[오늘의 보안 영어] hedge one’s bets,https://www.boannews.com/media/view.asp?idx=135210&page=1&kind=1
진화하는 사이버 위협 대응 위해 실전·현장 중심 사이버 보안 인재 양성한다,https://www.boannews.com/media/view.asp?idx=135206&page=1&kind=2
돌고 도는 허위 스팸 문자 ‘박근혜 전 대통령 사망’... 17일 또 다시 논란,https://www.boannews.com/media/view.asp?idx=135199&page=1&kind=1
리눅스에 대한 공격자들의 지식, 어느 정도까지 발전하고 있는가?,https://www.boannews.com/media/view.asp?idx=135173&page=1&kind=4
OWASP 선정 주요 취약점 대응 위한 API 보안기술 TOP 6,https://www.boannews.com/media/view.asp?idx=135182&page=1&kind=5
세계 최대 ICT 박람회 CES 2025, 첨단기술 트렌드 미리보기,https://www.boannews.com/media/view.asp?idx=135181&page=1&kind=3
이스트시큐리티, ‘알약’, 패션브랜드 ‘해칭룸’과 콜라보 제품 출시,https://www.boannews.com/media/view.asp?idx=135208&page=1&kind=3
금융보안원, 금융권 집중신고 부문에서 총 249건 취약점 발굴,https://www.boannews.com/media/view.asp?idx=135204&page=1&kind=2
도구공간, 일·가정 양립 ‘가족친화인증기업’ 선정,https://www.boannews.com/media/view.asp?idx=135205&page=1&kind=3
포티넷이 전망한 2025 주요 사이버 위협은 무엇?,https://www.boannews.com/media/view.asp?idx=135202&page=1&kind=3
SK쉴더스, AI 기반 보안 혁신 기업 ‘시큐레이어’ 인수,https://www.boannews.com/media/view.asp?idx=135203&page=1&kind=3
넷앤드, 연말 취약 계층 아동 돕는다... 초록우산 어린이재단에 기부금 전달,https://www.boannews.com/media/view.asp?idx=135209&page=1&kind=3
KT, 스팸 의심문자 알림 서비스 출시,https://www.boannews.com/media/view.asp?idx=135201&page=1&kind=3
씨유박스, Siam.AI Cloud·대보디엑스와 3자 업무협약 체결,https://www.boannews.com/media/view.asp?idx=135197&page=1&kind=3
네이버페이, ‘QR송금’ 서비스에 음성 알림 기능 도입,https://www.boannews.com/media/view.asp?idx=135193&page=1&kind=3
모니터랩, 베트남 기업 ‘FPT IS’ 및 ‘Cyradar’와 파트너 계약 체결,https://www.boannews.com/media/view.asp?idx=135192&page=1&kind=3
HS 효성인포메이션시스템-테라텍, HPC 및 AI 시장 확대 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=135191&page=1&kind=3
쿤텍, 5G 환경의 사이버 위협에 대응하는 차세대 기만기술 솔루션 ‘테라그리드’ 상용화 성공,https://www.boannews.com/media/view.asp?idx=135190&page=1&kind=3
S2W, 기술성 평가 통과... IPO ‘청신호’,https://www.boannews.com/media/view.asp?idx=135189&page=1&kind=3
스틸리언, KOICA ‘인도네시아 사이버보안 인력양성 사업’ 수주,https://www.boannews.com/media/view.asp?idx=135187&page=1&kind=3
MS, 국내 기업 혁신 사례 공개... AI 트랜스포메이션 속도 낸다,https://www.boannews.com/media/view.asp?idx=135186&page=1&kind=3
삼성전자 로봇청소기, 국내 최고수준 IoT 보안인증 최초 획득... IoT 보안의 중요성 확산 계기,https://www.boannews.com/media/view.asp?idx=135170&page=1&kind=2
[오늘의 보안 영어] turn tail,https://www.boannews.com/media/view.asp?idx=135184&page=1&kind=1
[인사] 메트로신문(메트로경제),https://www.boannews.com/media/view.asp?idx=135183&page=1&kind=3
플랜티엠, 동아일보 및 인터비즈와 ‘디지털 매거진 플랫폼 모아진 서비스’ MOU,https://www.boannews.com/media/view.asp?idx=135180&page=1&kind=3
[제로트러스트 보안모델 도입사례①] 클라우드 기반 서비스형 모델, 공공기관 보안 혁신의 새 지평 열다,https://www.boannews.com/media/view.asp?idx=135169&page=1&kind=2
[bnTV] 국내 증시 반등, 보안상장기업 중 ‘AI·양자관련주’ 날았다!,https://www.boannews.com/media/view.asp?idx=135179&page=2&kind=3
SGA솔루션즈, 2년 연속 주식 배당 5%... “성장 기반 주주 환원 정책”,https://www.boannews.com/media/view.asp?idx=135176&page=2&kind=3
KISA, 블록체인 등 신기술 분야의 벤처창업 진흥 유공 장관 표창 수상,https://www.boannews.com/media/view.asp?idx=135175&page=2&kind=2
전자정부 표준프레임워크, 공공시스템 클라우드 전환 확산 위한 신규 버전 공개,https://www.boannews.com/media/view.asp?idx=135168&page=2&kind=2
