Title,Link
스틸리언 창립 10年 “동남아·일본 진출”,https://www.boannews.com/media/view.asp?idx=135809&page=1&kind=1
[이슈칼럼] 인공지능이 만들어 갈 스마트 농업의 미래를 지키는 열쇠 ‘정보보안’,https://www.boannews.com/media/view.asp?idx=135808&page=1&kind=6
2025년 2월, 보안기업 어떤 인재 찾고 있나?,https://www.boannews.com/media/view.asp?idx=135806&page=1&kind=3
[2025 시큐리티 게이트 리포트] 일상 속 보안 필수품,https://www.boannews.com/media/view.asp?idx=135804&page=1&kind=3
[2025 스마트 산업안전 솔루션 리포트] 산업 현장의 안전과 체계적인 관리를 위한 필수 아이템,https://www.boannews.com/media/view.asp?idx=135801&page=1&kind=3
유동훈 시큐리온 대표, “스미싱, 피해 볼 수밖에 없는 구조”,https://www.boannews.com/media/view.asp?idx=135793&page=1&kind=1
스바루 자동차 해킹 실험, “관리자 패널 하나 뚫었을 뿐인데”,https://www.boannews.com/media/view.asp?idx=135796&page=1&kind=1
[2025 차세대 방화벽 리포트] 도전자들 뿌리치고 왕좌에 오른 차세대 방화벽,https://www.boannews.com/media/view.asp?idx=135799&page=1&kind=3
[영화&보안] 경고만 제대로 했어도 달라졌을 운명, <나잇 & 데이>,https://www.boannews.com/media/view.asp?idx=135725&page=1&kind=1
스키머 변칙 공격, ‘백약이 무효’,https://www.boannews.com/media/view.asp?idx=135795&page=1&kind=1
구글, 클라우드 서비스 보안인증 취득,https://www.boannews.com/media/view.asp?idx=135807&page=1&kind=3
TTA, 데이터 ‘유해표현’ 검출 AI모델 공개,https://www.boannews.com/media/view.asp?idx=135805&page=1&kind=2
CrowdStrike, ‘차세대 SIEM을 통한 현대적 SOC 구축’ 웨비나 개최,https://www.boannews.com/media/view.asp?idx=135803&page=1&kind=3
베가스 ‘재현자료’로 안전한 개인정보 활용,https://www.boannews.com/media/view.asp?idx=135802&page=1&kind=3
네티스, 와이파이6 공유기 ‘1+1’ 증정 이벤트,https://www.boannews.com/media/view.asp?idx=135800&page=1&kind=3
삼성전자, ‘보안 솔루션’ 확대 적용...AI 스크린 시장 주도,https://www.boannews.com/media/view.asp?idx=135797&page=1&kind=1
로그프레소 얼라이언스, 벤더間 ‘상호운영’ 강화,https://www.boannews.com/media/view.asp?idx=135798&page=1&kind=3
왓츠앱 스파이웨어, 100여 기자 ‘힐끗’,https://www.boannews.com/media/view.asp?idx=135794&page=1&kind=1
친러 해커조직, 24개 사이트 해킹...국내도 2곳 당해,https://www.boannews.com/media/view.asp?idx=135792&page=1&kind=1
FBI, 국제 공조로 다크웹의 유명 해킹 서비스 폐쇄시켜,https://www.boannews.com/media/view.asp?idx=135789&page=1&kind=1
‘보안 쓰리아웃’ 딥시크, 대용량 DB를 무제한 공개,https://www.boannews.com/media/view.asp?idx=135788&page=1&kind=1
LGU+ ‘알파키’, PQC로 계정관리,https://www.boannews.com/media/view.asp?idx=135787&page=1&kind=3
[배종찬의 보안 빅데이터] 中 AI ‘딥시크’, 개인정보 먹는 하마,https://www.boannews.com/media/view.asp?idx=135786&page=1&kind=1
SK C&C·골프존 등 주요기업, 숨은 ‘보안’ 인재 찾기,https://www.boannews.com/media/view.asp?idx=135741&page=1&kind=1
[오늘의 보안 영어] lily-livered,https://www.boannews.com/media/view.asp?idx=135785&page=1&kind=1
[보안 역사, 그날] 표현의 자유를 위한 채놀로지, 상대만 빼고,https://www.boannews.com/media/view.asp?idx=135739&page=1&kind=1
韓 연구진, 상온 양자역학적 ‘스핀 펌핑’ 최초 발견,https://www.boannews.com/media/view.asp?idx=135784&page=1&kind=2
[부고] 최동근 고려대 정보보호대학원 교수 모친상,https://www.boannews.com/media/view.asp?idx=135783&page=1&kind=1
[부고] 이재우 한국우주안보학회 회장 부친상,https://www.boannews.com/media/view.asp?idx=135781&page=1&kind=1
[인터뷰] 최재만 대검 조직범죄과장, “특활비 축소, ‘수사현장’에 애꿎은 불똥”,https://www.boannews.com/media/view.asp?idx=135776&page=1&kind=2
中 딥시크 R1, 알고보니 ‘헛똑똑이’?,https://www.boannews.com/media/view.asp?idx=135780&page=2&kind=1
中 딥시크 광풍, 韓 사용자 ‘개인정보’ 빨간불,https://www.boannews.com/media/view.asp?idx=135778&page=2&kind=5
[속보] ‘中 챗GPT’ 딥시크, 사이버공격 받아...신규가입 불가 상태,https://www.boannews.com/media/view.asp?idx=135777&page=2&kind=1
악성 PDF 파일, 모바일 사용자의 개인정보 채간다,https://www.boannews.com/media/view.asp?idx=135774&page=2&kind=1
가정용 LTE/5G 신호 증폭기로 도시 전체 통신망 마비시킬 수 있다,https://www.boannews.com/media/view.asp?idx=135773&page=2&kind=1
유니온 ‘얼굴인식’ 솔루션, 금결원 성능평가 통과,https://www.boannews.com/media/view.asp?idx=135755&page=2&kind=3
다크웹 重犯 ‘울브리흐트’, 11년만에 사면...비결은?,https://www.boannews.com/media/view.asp?idx=135772&page=2&kind=1
스틸리언, 日 해킹대회서 ‘車 해킹’,https://www.boannews.com/media/view.asp?idx=135771&page=2&kind=3
사람이 보안이다...공공 보안교육 AtoZ,https://www.boannews.com/media/view.asp?idx=135566&page=2&kind=3
[음악&보안] 사실은 랜섬웨어 주제가, “다시 사랑한다 말할까”,https://www.boannews.com/media/view.asp?idx=135768&page=2&kind=1
작년 하반기, 서버해킹 약 2배 증가...랜섬웨어 감염이 85%,https://www.boannews.com/media/view.asp?idx=135769&page=2&kind=1
KISA, “피싱 매우 교묘해져”...스미싱 확인 서비스 이용 당부,https://www.boannews.com/media/view.asp?idx=135767&page=2&kind=1
[속보] 피싱 탐지 보안업체도 털려...스캠어드바이저, 개인정보 유출,https://www.boannews.com/media/view.asp?idx=135766&page=2&kind=1
[카드뉴스] 설 선물로 위장한 사기! 사이버 사기 주의보 발령!,https://www.boannews.com/media/view.asp?idx=135764&page=2&kind=1
지니언스 EDR, 누적 고객 200곳 돌파…해외 러브콜,https://www.boannews.com/media/view.asp?idx=135754&page=2&kind=1
유일선 국민대 교수팀, ‘이통 양자보안’ 시대 개막,https://www.boannews.com/media/view.asp?idx=135762&page=2&kind=3
류종기 EY한영 상무, 기업 재해경감 활동으로 표창,https://www.boannews.com/media/view.asp?idx=135753&page=2&kind=3
美 법무부, 北 IT인력 5명 기소...사기·돈세탁 혐의,https://www.boannews.com/media/view.asp?idx=135760&page=2&kind=1
[배종찬의 보안 빅데이터] 당신의 ‘비밀번호’는 안전한가요?,https://www.boannews.com/media/view.asp?idx=135761&page=2&kind=5
‘SK스토아·동행복권’, 과징금 19.4억...고객정보 털려,https://www.boannews.com/media/view.asp?idx=135759&page=2&kind=2
LG U+, “설 명절 ‘스미싱’ 범죄 주의하세요”,https://www.boannews.com/media/view.asp?idx=135758&page=3&kind=3
4000만 고객정보 中에 넘겨, 카카오페이·애플 ‘과징금 83억’,https://www.boannews.com/media/view.asp?idx=135757&page=3&kind=2
TTA, 국내 첫 ‘QKD 확인서’ 내놔,https://www.boannews.com/media/view.asp?idx=135756&page=3&kind=2
[오늘의 보안 영어] get behind,https://www.boannews.com/media/view.asp?idx=135752&page=3&kind=1
[부고] 이용승 팔로알토네트웍스 코리아 이사 부친상,https://www.boannews.com/media/view.asp?idx=135751&page=3&kind=1
유니온커뮤니티, 두바이 ‘인터섹2025’서 건강관리 솔루션 등 선뵈,https://www.boannews.com/media/view.asp?idx=135750&page=3&kind=3
[인터뷰] 장성민 세이퍼존 신임 CTO, “있는지도 몰라야, 진정한 ‘보안’ 서비스”,https://www.boannews.com/media/view.asp?idx=135745&page=3&kind=3
구글 ‘교회’ 검색시, ‘교인’  정보까지... 개인정보 노출 충격,https://www.boannews.com/media/view.asp?idx=135726&page=3&kind=1
금융보안원, “금융·백신 사칭앱 주의...개인정보 탈취 돈 가로채”,https://www.boannews.com/media/view.asp?idx=135749&page=3&kind=1
[인사] 한국인터넷진흥원(KISA),https://www.boannews.com/media/view.asp?idx=135748&page=3&kind=3
[기자수첩] 트럼프 2.0 시대, 민주주의를 아끼다가,https://www.boannews.com/media/view.asp?idx=135740&page=3&kind=1
‘유명’과 ‘무료’의 역습 : 젠데스크 피싱 주의보,https://www.boannews.com/media/view.asp?idx=135747&page=3&kind=1
중앙대 융합보안대학원, 창립 10주년 기념행사 열려,https://www.boannews.com/media/view.asp?idx=135746&page=3&kind=3
휴네시온, 지자체 7곳에 2500만원 기부,https://www.boannews.com/media/view.asp?idx=135744&page=3&kind=3
국가바이오위 출범, “바이오, 제2의 반도체”,https://www.boannews.com/media/view.asp?idx=135763&page=3&kind=2
사이버수사대, 텔레그램 ‘자경단’ 검거... 200여명 성착취 혐의,https://www.boannews.com/media/view.asp?idx=135743&page=3&kind=1
다화테크놀로지, 클라우드 솔루션 ‘다후아 DoLunk Cloud’ 출시,https://www.boannews.com/media/view.asp?idx=135723&page=3&kind=3
국정원, ‘국가 망 보안체계’ 정책 제시...N²SF 가이드라인 발표,https://www.boannews.com/media/view.asp?idx=135736&page=3&kind=2
카스퍼스키, 북한발 新악성코드 발견,https://www.boannews.com/media/view.asp?idx=135742&page=3&kind=5
[음악&보안] 알고 보면 발라드의 귀재였던 댄스 그룹 쿨과 보안의 미래,https://www.boannews.com/media/view.asp?idx=135615&page=3&kind=1
[부고] 조용만 비즈워치 이사회의장 모친상,https://www.boannews.com/media/view.asp?idx=135737&page=4&kind=1
외교부 홈페이지, 지란지교 ‘웹 에디터’로 만든다,https://www.boannews.com/media/view.asp?idx=135735&page=4&kind=3
[오늘의 보안 영어] on hand,https://www.boannews.com/media/view.asp?idx=135734&page=4&kind=1
설 앞두고...악성앱 공격 2.5배 ↑,https://www.boannews.com/media/view.asp?idx=135733&page=4&kind=3
