Title,Link
‘포스트 딥시크’는 나!...60개 스타트업 경합,https://www.boannews.com/media/view.asp?idx=135874&page=1&kind=1
7zip 제로데이 통해 우크라이나 공략하는 러 해커들,https://www.boannews.com/media/view.asp?idx=135873&page=1&kind=1
[배종찬의 보안 빅데이터] AI 경쟁, 기술보다 ‘보안’이 우선,https://www.boannews.com/media/view.asp?idx=135872&page=1&kind=1
[기자수첩] 자린고비의 첨단기술 실망記,https://www.boannews.com/media/view.asp?idx=135852&page=1&kind=1
韓 CISO “中 딥시크, 정보 과수집·유출 제일 걱정”...무작정 ‘차단’은 경계,https://www.boannews.com/media/view.asp?idx=135866&page=1&kind=1
[카드뉴스] 딥시크 금지령, 확산세,https://www.boannews.com/media/view.asp?idx=135869&page=1&kind=1
[카드뉴스] 월레스와 그로밋이 던지는 보안 경고!,https://www.boannews.com/media/view.asp?idx=135865&page=1&kind=1
라온시큐어 작년 매출, ‘역대 최대’...흑자전환,https://www.boannews.com/media/view.asp?idx=135864&page=1&kind=1
[월드시큐 황.당.사] 딥시크 R1의 보안 성적 “처참” 外,https://www.boannews.com/media/view.asp?idx=135861&page=1&kind=1
[사람과 보안] 딥시크 충격파와 AI스파이 시대의 도래,https://www.boannews.com/media/view.asp?idx=135862&page=1&kind=1
과기정통부, ‘국가 AI컴퓨팅 센터’설명회 개최...빅테크·투자사 관심,https://www.boannews.com/media/view.asp?idx=135870&page=1&kind=2
항공보안학회, 신임 회장에 소대섭 한서대 항공보안과 교수,https://www.boannews.com/media/view.asp?idx=135871&page=1&kind=3
마음AI, 딥시크 기반 AI모델 제품 선뵈,https://www.boannews.com/media/view.asp?idx=135867&page=1&kind=3
“우주 사이버안보, 국제 공동대응 시급”...이재우 우주안보학회장,https://www.boannews.com/media/view.asp?idx=135854&page=1&kind=2
[오늘의 보안 영어] corner-case,https://www.boannews.com/media/view.asp?idx=135860&page=1&kind=1
파이어워처, AI로 산불 조기 진화 지원,https://www.boannews.com/media/view.asp?idx=135859&page=1&kind=3
HS 효성인포, 2025년 AX·ESG 혁신 전략 발표,https://www.boannews.com/media/view.asp?idx=135858&page=1&kind=1
LG CNS, 지난해 매출 5.9조·영업익 0.5조↑...역대 최대 실적,https://www.boannews.com/media/view.asp?idx=135857&page=1&kind=3
에프원시큐리티, CMMC 컨설팅 추진,https://www.boannews.com/media/view.asp?idx=135856&page=1&kind=3
국회, AI인재 확보책으로 ‘병역특례’ 카드 만지작,https://www.boannews.com/media/view.asp?idx=135853&page=1&kind=2
[보안 역사, 그날] 가늘고 길었던 해킹 그룹, ‘킬로보드’,https://www.boannews.com/media/view.asp?idx=135855&page=1&kind=1
모니터랩-라온시큐어, 제로트러스트 보안시장 ‘협공’,https://www.boannews.com/media/view.asp?idx=135845&page=1&kind=3
지재위, “트럼프 2기, 지식재산 보호 강화”...FTA 재협상 등 대비해야,https://www.boannews.com/media/view.asp?idx=135851&page=1&kind=1
ETRI, 드론 띄워 재난 시 이동통신,https://www.boannews.com/media/view.asp?idx=135846&page=1&kind=3
