Title,Link
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136581&page=1&kind=1
[여기는 킨텍스] 피앤피시큐어, 무자각 지속 인증 기술로 제로트러스트 활성화 앞당긴다,https://www.boannews.com/media/view.asp?idx=136580&page=1&kind=3
케이사인, 샌즈랩과 PQC 공동 개발,https://www.boannews.com/media/view.asp?idx=136579&page=1&kind=1
[여기는 킨텍스] 아이디스, 수많은 고객과 현장 의미담은 300개의 빛 열매로 반짝,https://www.boannews.com/media/view.asp?idx=136569&page=1&kind=3
[여기는 킨텍스] 파이오링크, ‘티프론트 ZT’로 제로트러스트 구현,https://www.boannews.com/media/view.asp?idx=136577&page=1&kind=3
[여기는 킨텍스] 한화비전, 산업별 맞춤 기능 제공하는 툴킷 ‘AI PACK’ 등 주목,https://www.boannews.com/media/view.asp?idx=136571&page=1&kind=3
[여기는 킨텍스] 에스에스앤씨, 보안 종합 선물 세트 Forcepoint ONE 선봬,https://www.boannews.com/media/view.asp?idx=136564&page=1&kind=3
[여기는 킨텍스] 더 강력해진 AI로 무장한 슈프리마 ‘바이오스타(BioStar) X’ 공개,https://www.boannews.com/media/view.asp?idx=136572&page=1&kind=3
[여기는 킨텍스] 위즈코리아, ‘위즈블랙박스슈트’로 개인정보 접속기록 시장 공략,https://www.boannews.com/media/view.asp?idx=136573&page=1&kind=3
[여기는 킨텍스] 잉카인터넷, 구독형 통합 보안서비스 ‘잉카큐브’ 소개,https://www.boannews.com/media/view.asp?idx=136576&page=1&kind=3
토종 AI스타트업, 美동부 진출 박차..과기정통부, 뉴욕大에 교두보 마련,https://www.boannews.com/media/view.asp?idx=136578&page=1&kind=1
안랩, “유명 증권사 사칭 악성 앱 유포...주의 필요”,https://www.boannews.com/media/view.asp?idx=136575&page=1&kind=1
[여기는 킨텍스] 가비아, 국내 1호 클라우드 보안인증 받은 DaaS 전시,https://www.boannews.com/media/view.asp?idx=136574&page=1&kind=3
[여기는 킨텍스] 에이디엠, 관리성 개선한 네트워크·방송시스템 선봬,https://www.boannews.com/media/view.asp?idx=136570&page=1&kind=1
[부고] 정수환 한국정보보호학회 명예회장 모친상,https://www.boannews.com/media/view.asp?idx=136568&page=1&kind=1
[여기는 킨텍스] 엘세븐시큐리티, AI 기반 OCR 기술 고도화 솔루션 소개,https://www.boannews.com/media/view.asp?idx=136567&page=1&kind=3
[여기는 킨텍스] KISA, 이기종 한계 개선한 ‘물리보안 통합플랫폼’ 전시,https://www.boannews.com/media/view.asp?idx=136565&page=1&kind=3
한국항공보안학회, 2025년 춘계학술대회 개최,https://www.boannews.com/media/view.asp?idx=136563&page=1&kind=3
[여기는 킨텍스] 포커스에이치엔에스, Edge IoT Device 활용한 스마트 AI 플랫폼 총출동,https://www.boannews.com/media/view.asp?idx=136562&page=1&kind=3
[여기는 킨텍스] 내년 부스 신청 썰렁? 알고 보니 출렁!,https://www.boannews.com/media/view.asp?idx=136561&page=1&kind=1
[여기는 킨텍스] 네이즈, Leopard AI로 지능형 통합 관제 고도화,https://www.boannews.com/media/view.asp?idx=136560&page=1&kind=3
[여기는 킨텍스] “지자체 주민 안전, 내가 지켜”..CCTV에 AI활용 모색,https://www.boannews.com/media/view.asp?idx=136558&page=1&kind=3
‘세계보안엑스포 & 전자정부 정보보호 솔루션 페어’(SECON & eGISEC 2025) 성황리 개막,https://www.boannews.com/media/view.asp?idx=136559&page=1&kind=3
[여기는 킨텍스] 이글루, 국내 최초 AI 보안관제 선뵈,https://www.boannews.com/media/view.asp?idx=136555&page=1&kind=3
[여기는 킨텍스] 시큐레이어, All-in-One 솔루션 ‘eyeCloudXOAR’로 시장 공략,https://www.boannews.com/media/view.asp?idx=136556&page=1&kind=3
[여기는 킨텍스] 안랩, XDR로 고객 맞춤형 보안 솔루션 완성,https://www.boannews.com/media/view.asp?idx=136553&page=1&kind=3
[여기는 킨텍스] 도구공간, ‘로브제 S4’ 전시..차세대 로봇 솔루션 선봬,https://www.boannews.com/media/view.asp?idx=136557&page=1&kind=3
[인사] 개인정보보호위원회,https://www.boannews.com/media/view.asp?idx=136554&page=1&kind=2
[유경동의 IP전략] Made in China, 딥시크,https://www.boannews.com/media/view.asp?idx=136518&page=1&kind=1
구글, 멀티 클라우드 보안 솔루션 기업 위즈 인수 발표,https://www.boannews.com/media/view.asp?idx=136552&page=1&kind=3
지란지교소프트-직스, CAD 데이터 보호 MOU 체결,https://www.boannews.com/media/view.asp?idx=136551&page=2&kind=3
ADT캡스, 보안 웹드라마 ‘갑수 2025: 블라인드 스팟’ 공개,https://www.boannews.com/media/view.asp?idx=136550&page=2&kind=3
금보원, ‘금융권 AX’ 지원할 전문 인력 양성,https://www.boannews.com/media/view.asp?idx=136549&page=2&kind=3
[여기는 킨텍스] 킨텍스, “1주차장 이용 불가”..2주차장·GTX 등 대체 이용 당부,https://www.boannews.com/media/view.asp?idx=136548&page=2&kind=1
스틸리언, 英 FT서 ‘APAC 고성장 기업’ 선정..역대 3번째,https://www.boannews.com/media/view.asp?idx=136546&page=2&kind=3
북한 해커 그룹, 한글 앱으로 위장한 말웨어 독스왑 유포,https://www.boannews.com/media/view.asp?idx=136544&page=2&kind=1
KISA-KIIA, 국내 물리보안 산업 경쟁력 강화 위해 손잡다,https://www.boannews.com/media/view.asp?idx=136543&page=2&kind=2
7만 명 찾은 제조 혁신 현장...스마트공장·자동화산업전 성료,https://www.boannews.com/media/view.asp?idx=136542&page=2&kind=3
신시웨이, 2024년 매출 118억원...전년 대비 13% 증가,https://www.boannews.com/media/view.asp?idx=136541&page=2&kind=3
구글, 43조원에 클라우드 보안 기업 위즈 인수 추진...구글 역대 최대 규모 인수,https://www.boannews.com/media/view.asp?idx=136540&page=2&kind=3
류광준 과기혁신본부장, 국방과학연구소 방문..."미래전 대비해 첨단 기술 국방 분야 적용 지원",https://www.boannews.com/media/view.asp?idx=136539&page=2&kind=2
정부 부처 손잡고 AI로 공공 혁신 추진한다,https://www.boannews.com/media/view.asp?idx=136538&page=2&kind=2
휴네시온, 원격 유지보수 솔루션 ‘i-oneJTac’으로 SW 공급망 보안 위협 대응,https://www.boannews.com/media/view.asp?idx=136537&page=2&kind=3
에스카, 공공조달 우수기업 최초 ‘KISA 학교생활안전 분야’ 성능인증 획득,https://www.boannews.com/media/view.asp?idx=136536&page=2&kind=3
“공급망 보안, 회복력부터 갖춰라”..KISA, CISO 포럼서 강조,https://www.boannews.com/media/view.asp?idx=136534&page=2&kind=2
오투원즈, OT망 원격접속 통제솔루션 ‘OtoRAS’ CC인증 획득,https://www.boannews.com/media/view.asp?idx=136535&page=2&kind=3
지란지교시큐, 대교 EMM 태블릿 관리 시스템 구축사업 수주,https://www.boannews.com/media/view.asp?idx=136533&page=2&kind=3
[여기는 킨텍스] 슈프리마, SECON서 바이오스타X 첫선..통합 보안 新기준 제시,https://www.boannews.com/media/view.asp?idx=136532&page=2&kind=3
[카드뉴스] 제조업, 랜섬웨어 감염 ‘속출’ 주의!,https://www.boannews.com/media/view.asp?idx=136531&page=2&kind=1
S2W, 日에 CTI 플랫폼 공급..하반기 IPO 박차,https://www.boannews.com/media/view.asp?idx=136530&page=2&kind=3
에브리존 안티랜섬웨어 ‘화이트디펜더’, 국정원 보안기능확인서 인증 획득,https://www.boannews.com/media/view.asp?idx=136526&page=3&kind=3
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136525&page=3&kind=2
게임, 양자를 만나다..노르마-네오위즈 맞손,https://www.boannews.com/media/view.asp?idx=136524&page=3&kind=1
[한국정보공학기술사 보안을 論하다-11] 인공지능 시대, 보안담당자의 역할,https://www.boannews.com/media/view.asp?idx=136523&page=3&kind=3
한드림넷, 네트워크 스위치 제조공장 신축,https://www.boannews.com/media/view.asp?idx=136522&page=3&kind=3
원우이엔지 중국지사, 선전 사이언스파크로 이전 기념식 개최,https://www.boannews.com/media/view.asp?idx=136519&page=3&kind=3
미 연방 CIO, “사이버 보안 인력은 국가 안보 핵심...구조조정 우선 대상 아냐”,https://www.boannews.com/media/view.asp?idx=136521&page=3&kind=2
SGA솔루션즈, eGISEC 2025서 ‘오버레이 전략’ 제시...국가망 보안체계와 제로트러스트 연계,https://www.boannews.com/media/view.asp?idx=136517&page=3&kind=3
쿠도, SECON 2025서 ‘차세대 보안 카메라’ 첫선,https://www.boannews.com/media/view.asp?idx=136520&page=3&kind=3
깃허브 겨냥한 가짜 보안 알림 피싱 공격 주의보,https://www.boannews.com/media/view.asp?idx=136516&page=3&kind=1
[신간] AI 기업 CEO가 파헤친 ‘AI 비즈니스 승리의 길’,https://www.boannews.com/media/view.asp?idx=136515&page=3&kind=3
국정원, 드론 업계 ‘사이버보안체계’ 구축 지원,https://www.boannews.com/media/view.asp?idx=136514&page=3&kind=2
아도스, SECON 2025서 차세대 보안 기술 공개,https://www.boannews.com/media/view.asp?idx=136513&page=3&kind=3
[SECON & eGISEC 2025] ⑬2025년 제1차 CPO 워크숍,https://www.boannews.com/media/view.asp?idx=136384&page=3&kind=1
금보원, 2025년도 금융권 침해사고 대응훈련 실시,https://www.boannews.com/media/view.asp?idx=136512&page=3&kind=2
산업기술보호협, 국가핵심기술 보호 위한 대응전략 공유,https://www.boannews.com/media/view.asp?idx=136401&page=3&kind=3
[배종찬의 보안 빅데이터] 13월의 보너스 ‘연말정산’ 노리는 잔인한 피싱,https://www.boannews.com/media/view.asp?idx=136511&page=3&kind=1
국토부, 2025년 스마트도시 조성·확산 위한 4가지 사업 참가 공모 실시,https://www.boannews.com/media/view.asp?idx=136509&page=3&kind=2
[특별기고] 최악을 가정하라!...깃허브, 민감 데이터 유출 대처법,https://www.boannews.com/media/view.asp?idx=136496&page=3&kind=6
송승현 한국요꼬가와 본부장, “똑부러진 ‘OT보안’이란 이런 것!”,https://www.boannews.com/media/view.asp?idx=136482&page=3&kind=3
[부고] 이정석 데일리팜·메디칼타임즈 대표 빙부상,https://www.boannews.com/media/view.asp?idx=136508&page=4&kind=1
[미리보는 eGISEC 2025] 케이스마텍,https://www.boannews.com/media/view.asp?idx=136506&page=4&kind=3
[미리보는 eGISEC 2025] 와이에이치,https://www.boannews.com/media/view.asp?idx=136507&page=4&kind=3
[미리보는 eGISEC 2025] 코닉글로리,https://www.boannews.com/media/view.asp?idx=136505&page=4&kind=3
[미리보는 eGISEC 2025] 한국정보인증,https://www.boannews.com/media/view.asp?idx=136504&page=4&kind=3
[미리보는 eGISEC 2025] 파일링클라우드,https://www.boannews.com/media/view.asp?idx=136503&page=4&kind=3
[미리보는 eGISEC 2025] 위드네트웍스,https://www.boannews.com/media/view.asp?idx=136502&page=4&kind=3
[미리보는 eGISEC 2025] 에스투더블유,https://www.boannews.com/media/view.asp?idx=136501&page=4&kind=3
[미리보는 SECON 2025] 브이에스아이,https://www.boannews.com/media/view.asp?idx=136500&page=4&kind=3
[미리보는 SECON 2025] 애니셀,https://www.boannews.com/media/view.asp?idx=136499&page=4&kind=3
기업 10곳中 7곳, 개인정보처리방침과 실제 운영 달라..외국계는 절반 아예 ‘미운영’,https://www.boannews.com/media/view.asp?idx=136498&page=4&kind=2
정부, 지방과학기술진흥에 6.6조 투입..시행계획 확정,https://www.boannews.com/media/view.asp?idx=136497&page=4&kind=2
대한민국 보안 역사, ‘안랩’ 30주년..."글로벌 1조 기업 도약" 다짐,https://www.boannews.com/media/view.asp?idx=136494&page=4&kind=3
[기획] 서른 안랩, 결정적 순간 No.5,https://www.boannews.com/media/view.asp?idx=136495&page=4&kind=3
[SECON & eGISEC 2025] ⑫2025 물리보안 인증 및 연동 기술 콘퍼런스,https://www.boannews.com/media/view.asp?idx=136383&page=4&kind=1
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136493&page=4&kind=2
오픈AI, "딥시크 등 中 AI 모델 사용 금지해야",https://www.boannews.com/media/view.asp?idx=136492&page=4&kind=2
센스톤, EU 사이버보안 대표단에 OT 보안 기술 선봬,https://www.boannews.com/media/view.asp?idx=136491&page=4&kind=1
라온시큐어, 주주친화 정책 강화...5:1 주식 병합 결정,https://www.boannews.com/media/view.asp?idx=136490&page=4&kind=3
