Title,Link
[배종찬의 보안 빅데이터] 북한 해킹 그룹이 노리는 K-방산·K-반도체,https://www.boannews.com/media/view.asp?idx=136613&page=1&kind=1
동남아 온라인 로맨스 사기단 2명 징역형,https://www.boannews.com/media/view.asp?idx=136612&page=1&kind=1
[여기는 킨텍스] 원우이엔지, 신규 AF 줌 모듈 첫선,https://www.boannews.com/media/view.asp?idx=136611&page=1&kind=3
[여기는 킨텍스] 버카다, 물리-사이버 경계 없는 보안 시스템 제시,https://www.boannews.com/media/view.asp?idx=136610&page=1&kind=3
[bnTV] 여기는 킨텍스, eGISEC 2025 참가 보안상장기업 주가는?,https://www.boannews.com/media/view.asp?idx=136609&page=1&kind=1
[여기는 킨텍스] “뭐하는 부스에요?”...IP코드, 특허 상담 눈길,https://www.boannews.com/media/view.asp?idx=136608&page=1&kind=1
[여기는 킨텍스] 이노뎁, 대규모 업데이트 안내 위한 ‘소통형’ 부스 꾸려,https://www.boannews.com/media/view.asp?idx=136607&page=1&kind=3
[여기는 킨텍스] 엠아이케이스캔, 국산 보안검색장비의 기술력 선봬,https://www.boannews.com/media/view.asp?idx=136606&page=1&kind=1
[bnTV] 여기는 킨텍스, SECON 2025 참가 보안상장기업 주가는?,https://www.boannews.com/media/view.asp?idx=136597&page=1&kind=1
[사람과 보안] AI가 보안이고, 보안이 AI인 세상,https://www.boannews.com/media/view.asp?idx=136593&page=1&kind=1
[여기는 킨텍스] 유니온커뮤니티, 보안을 넘어 다양한 산업에 스며든 생체인식 기술,https://www.boannews.com/media/view.asp?idx=136605&page=1&kind=3
[여기는 킨텍스] 솔텍인포넷, 산업 현장 위한 고신뢰  이더넷 스위치 선보여,https://www.boannews.com/media/view.asp?idx=136604&page=1&kind=3
[여기는 킨텍스] 렉스젠, AI 기반 지능형 교통 관제 시스템 눈길,https://www.boannews.com/media/view.asp?idx=136603&page=1&kind=3
[여기는 킨텍스] 한국항공보안학회, 2025년 춘계학술대회 성료,https://www.boannews.com/media/view.asp?idx=136602&page=1&kind=3
[여기는 킨텍스] 엠스톤, 전시장 중앙을 수놓은 100장의 IP Wall,https://www.boannews.com/media/view.asp?idx=136601&page=1&kind=3
[여기는 킨텍스] 홍석, 생활방범과 차량 인식 하나로 통합한 듀얼 카메라 눈길,https://www.boannews.com/media/view.asp?idx=136600&page=1&kind=3
[여기는 킨텍스] 유니버스에이아이, AI 얼굴인식 기술 활용한 솔루션 제시,https://www.boannews.com/media/view.asp?idx=136599&page=1&kind=3
