Title,Link
[배종찬의 보안 빅데이터] 비트코인 최대 적은 관세 아닌 북한의 ‘라자루스’,https://www.boannews.com/media/view.asp?idx=136685&page=1&kind=1
스팀 계정 훔치는 가짜 브라우저 창, 게이머 공격 주의!,https://www.boannews.com/media/view.asp?idx=136674&page=1&kind=1
과기정통부-반도체 3사, ‘모아팹’을 띄워라!,https://www.boannews.com/media/view.asp?idx=136678&page=1&kind=1
[사람과 보안] 숨기면서도 드러내야만 하는 보안의 패러독스,https://www.boannews.com/media/view.asp?idx=136676&page=1&kind=1
세이퍼존 DLP올인원, 국내 최초 맥OS 지원,https://www.boannews.com/media/view.asp?idx=136666&page=1&kind=1
나델라 MS CEO 서울 나들이, AI협업 한국 파트너 누구?,https://www.boannews.com/media/view.asp?idx=136665&page=1&kind=3
[bnTV] 美 관세 이슈 ‘잠잠’하자, 外人 ‘사자’... 반도체株 회복세,https://www.boannews.com/media/view.asp?idx=136663&page=1&kind=3
멀티 플랫폼 앱 개발 도구 악용한 안드로이드 말웨어 공격 포착,https://www.boannews.com/media/view.asp?idx=136664&page=1&kind=1
[카드뉴스] SECON & eGISEC 2025 성황리 폐막!,https://www.boannews.com/media/view.asp?idx=136660&page=1&kind=3
나델라 MS CEO, "모든 AI 플랫폼 공통 원칙은 신뢰",https://www.boannews.com/media/view.asp?idx=136658&page=1&kind=3
임무 마친 인공위성, 우주 사이버 보안 연구에 재활용,https://www.boannews.com/media/view.asp?idx=136689&page=1&kind=2
코헤시티-레드햇 협력, 가상화 환경에 데이터 보안 강화,https://www.boannews.com/media/view.asp?idx=136688&page=1&kind=3
안랩, 디지털 에듀케이터 양성 프로그램 ‘안랩샘’ 20기 개강,https://www.boannews.com/media/view.asp?idx=136687&page=1&kind=2
티피링크, 차세대 리더 도약 위한 신제품 라인업으로 주목,https://www.boannews.com/media/view.asp?idx=136682&page=1&kind=3
[인사] 펌킨네트웍스,https://www.boannews.com/media/view.asp?idx=136683&page=1&kind=3
개인정보위, 손해배상 책임제도 정비..보험료↓·보장범위↑,https://www.boannews.com/media/view.asp?idx=136681&page=1&kind=2
조달청, 공공서비스 업그레이드 할 26개 혁신제품 지정,https://www.boannews.com/media/view.asp?idx=136679&page=1&kind=2
금보원, 2025년 수탁자 공동점검 진행..제3자 리스크 관리,https://www.boannews.com/media/view.asp?idx=136680&page=1&kind=2
세연테크, 보급형 열화상 뷸렛 IP 카메라 출시,https://www.boannews.com/media/view.asp?idx=136677&page=1&kind=3
AI 스마트시티 세미나, 신기술 기반의 미래도시 생태계 전략 논의..박민규 의원실 등,https://www.boannews.com/media/view.asp?idx=136675&page=1&kind=2
소프트캠프, ‘AI 보안’으로 협력사와 동반성장,https://www.boannews.com/media/view.asp?idx=136670&page=1&kind=1
우리카드, 가맹점주 ‘개인정보’로 장사...과징금 134억 부과,https://www.boannews.com/media/view.asp?idx=136669&page=1&kind=1
NIPA 새 원장, 박윤규 전 과기정통부 제2차관,https://www.boannews.com/media/view.asp?idx=136668&page=1&kind=1
산불 피해 소실 목재, 친환경 제품으로 부활..대한민국사회공헌재단, 캠페인 개시,https://www.boannews.com/media/view.asp?idx=136667&page=1&kind=1
벨로크, eGISEC 2025 참가해 AI·딥러닝 기반 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=136662&page=1&kind=3
韓, EU특허 출원 2년 연속 톱5...‘배터리·AI’, 쌍끌이 견인,https://www.boannews.com/media/view.asp?idx=136661&page=1&kind=1
