Title,Link
[부고] 박의원 엔씨소프트 CISO 빙부상,https://www.boannews.com/media/view.asp?idx=136770&page=1&kind=1
[2025 디도스 대응 솔루션 리포트] 지속적인 디도스 공격 대응 프로세스를 수립하라,https://www.boannews.com/media/view.asp?idx=136707&page=1&kind=3
[2025 얼굴·홍채인식 리포트] 눈과 얼굴로 열리는 세상, 힘 모아 시장 확장,https://www.boannews.com/media/view.asp?idx=136691&page=1&kind=3
[2025 영상향 SoC 리포트] 주요 국가 SoC 현황과 우리 정부 지원책,https://www.boannews.com/media/view.asp?idx=136686&page=1&kind=3
[배종찬의 보안 빅데이터] 나쁜 짓도 사주할 수 있는 인공지능(AI),https://www.boannews.com/media/view.asp?idx=136761&page=1&kind=1
[사람과 보안] 일론 머스크가 보안회사 CEO였다면?,https://www.boannews.com/media/view.asp?idx=136753&page=1&kind=1
다후아, 테크데이 통해 최신 제품 및 기술 공유,https://www.boannews.com/media/view.asp?idx=136751&page=1&kind=3
[단독] 韓 AI 스타트업, 딥페이크 음란물에 무방비 노출,https://www.boannews.com/media/view.asp?idx=136750&page=1&kind=1
[제품리뷰] 격오지·임시 환경에도 안정적 전력 공급 등 가능...VIGI 태양광 발전 솔루션,https://www.boannews.com/media/view.asp?idx=136748&page=1&kind=3
슈프리마, 美 ISC West 참가...AI 등 통합보안 솔루션 선뵈,https://www.boannews.com/media/view.asp?idx=136749&page=1&kind=1
KISIA-KOTRA, ‘美 ISC WEST 2025’ 한국관 공동 운영,https://www.boannews.com/media/view.asp?idx=136769&page=1&kind=1
헌재, 전원일치 윤석열 대통령 파면…“중대 위법, 국민신임 배반”,https://www.boannews.com/media/view.asp?idx=136768&page=1&kind=1
안랩, 차세대 네트워크 통합 보안 솔루션 ‘안랩 XTG’ 출시,https://www.boannews.com/media/view.asp?idx=136767&page=1&kind=3
지코어, 노던데이터그룹과 맞손...AI 솔루션 도입 가속화,https://www.boannews.com/media/view.asp?idx=136766&page=1&kind=3
퀀티넘 양자 난수 생성기, 美 NIST 인증 획득,https://www.boannews.com/media/view.asp?idx=136765&page=1&kind=3
국정원, "병원 사이버 공격 막는다"...병원정보시스템 보안 가이드라인 마련,https://www.boannews.com/media/view.asp?idx=136760&page=1&kind=2
“취약점, 제보하세요”...파인더갭·엔씨소프트, ‘버그 바운티’ 운영,https://www.boannews.com/media/view.asp?idx=136759&page=1&kind=3
정보보호학회-KISA, NetSec-KR 2025 개최,https://www.boannews.com/media/view.asp?idx=136758&page=1&kind=3
세이퍼존, SASE 망분리 지원...국가망 보안체계 맞춰,https://www.boannews.com/media/view.asp?idx=136757&page=1&kind=2
