Title,Link
[SKT 해킹 사태] 누구나 쉽게 구할 수 있는 ‘유심 라이터’...심스와핑 공격에 악용,https://www.boannews.com/media/view.asp?idx=137081&page=1&kind=1
[SKT 해킹 사태] [포토] 즐거운 여행길?...유심 교체 위해 공항에 늘어선 줄,https://www.boannews.com/media/view.asp?idx=137080&page=1&kind=1
[SKT 해킹 사태 중간점검-1] 사건 경위와 현재 상황, 그리고 드러난 문제점,https://www.boannews.com/media/view.asp?idx=137079&page=1&kind=1
[SKT 해킹 사태] 분리된 SKT 서버, VPN 취약점으로 뚫었나,https://www.boannews.com/media/view.asp?idx=137078&page=1&kind=1
[SKT 해킹 사태] 국회, 개인정보 유출 기업에 ‘칼’ 빼든다,https://www.boannews.com/media/view.asp?idx=137077&page=1&kind=1
[SKT 해킹 사태] 통신사·콜센터 대규모 해킹사고 일으킨 ‘스텔스 공격’은?,https://www.boannews.com/media/view.asp?idx=137074&page=1&kind=1
[기자수첩] 美 RSAC 현장서 바라본 SKT 사태,https://www.boannews.com/media/view.asp?idx=137073&page=1&kind=1
[SKT 해킹 사태] 개인정보위, “SKT 이용 개인정보취급자, 유심 교체” 권고,https://www.boannews.com/media/view.asp?idx=137072&page=1&kind=2
[SKT 해킹 사태] 유심 해킹 여파에 보안 관련주 급등... 생체인식·양자보안 관심↑,https://www.boannews.com/media/view.asp?idx=137071&page=1&kind=3
[SKT 해킹 사태] SKT 600억, KT 1218억..이통사 보안 투자 도마 올라,https://www.boannews.com/media/view.asp?idx=137070&page=1&kind=1
원스테크넷-아스트론, 클라우드 보안 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137075&page=1&kind=1
유니뷰, 전국 순회 교육 통해 스마트 영상보안 기술력 강화,https://www.boannews.com/media/view.asp?idx=137064&page=1&kind=3
지오멕스소프트-케어링, AI 기반 환자 모니터링 서비스 제공 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=137054&page=1&kind=3
[RSAC 2025] K-시큐, RSAC 2025 출격...한국관·단독관 운영, 금보원 단체 참관,https://www.boannews.com/media/view.asp?idx=137053&page=1&kind=3
[SKT 해킹 사태] 5월 초 연휴에 ‘유심 품귀 대란’  어떻게 하나,https://www.boannews.com/media/view.asp?idx=137069&page=1&kind=1
[SKT 해킹 사태] 금융권과 카드사는 어떻게 대응하고 있나?,https://www.boannews.com/media/view.asp?idx=137062&page=1&kind=1
[SKT 해킹 사태] 한민수 의원 분노 폭발 “어디다 대고 위약금을 물겠다고 하는 것인가”,https://www.boannews.com/media/view.asp?idx=137067&page=1&kind=1
명지대 국방우주안보연구센터, 2025 국방 우주안보 발전 세미나 개최,https://www.boannews.com/media/view.asp?idx=137068&page=1&kind=3
[SKT 해킹 사태] SKT 유심 정보, 암호화 없이 저장돼 있었다,https://www.boannews.com/media/view.asp?idx=137066&page=1&kind=1
[SKT 해킹 사태] ‘SK 늑장 대응’ 비판 점증...최태원 회장에 책임론 번진다,https://www.boannews.com/media/view.asp?idx=137065&page=1&kind=1
[SKT 해킹 사태] 유영상 대표, 위약금 납부 면제 지적에 “검토하겠다” 입장만 되풀이,https://www.boannews.com/media/view.asp?idx=137063&page=1&kind=1
[SKT 해킹 사태] 늘어선 유심 교체 줄...e심으로 갈아탈까?,https://www.boannews.com/media/view.asp?idx=137061&page=1&kind=1
올해 정보보호 공시 의무 대상 기업 671개사 공개...작년보다 16개 늘어,https://www.boannews.com/media/view.asp?idx=137060&page=1&kind=2
[SKT 해킹 사태] 유영상 SKT 대표, “전체 가입자 정보 유출 전제로 대비 중”,https://www.boannews.com/media/view.asp?idx=137059&page=1&kind=1
홍원표 SK쉴더스 대표 사임..“개인적 결정”,https://www.boannews.com/media/view.asp?idx=137058&page=1&kind=3
[SKT 해킹 사태] [카드뉴스]"최대 2,300만 명 잠재적 피해" SKT 사상 최대 해킹 사태,https://www.boannews.com/media/view.asp?idx=137057&page=1&kind=1
[SKT 해킹 사태] SKT, “경쟁사에서 유심 카드 지원 제안 있었다”,https://www.boannews.com/media/view.asp?idx=137056&page=1&kind=1
[SKT 해킹 사태] 유영상 SKT 대표,  “번호이동 위약금 폐지, 종합적 검토”,https://www.boannews.com/media/view.asp?idx=137055&page=1&kind=1
[SKT 해킹 사태] SKT 사태, 포털·금융·게임사 CISO들은 어떻게 대응하고 있나?,https://www.boannews.com/media/view.asp?idx=137052&page=1&kind=1
한국전파진흥협회, 시스코 보안 아카데미 3기 모집,https://www.boannews.com/media/view.asp?idx=137048&page=1&kind=3
[SKT 해킹 사태] SKT 해킹 사태... 유심 교체 전 꼭 챙겨야 할 3가지,https://www.boannews.com/media/view.asp?idx=137044&page=2&kind=1
시큐리온, 리눅스용 안티바이러스 솔루션 GS 인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=137046&page=2&kind=3
[RSAC 2025] 시스코, “AI 시대 보안을 재정의”,https://www.boannews.com/media/view.asp?idx=137047&page=2&kind=3
[RSAC 2025] 센스톤, ‘RSAC 2025’서 글로벌 인포섹 어워즈 위너 수상,https://www.boannews.com/media/view.asp?idx=137042&page=2&kind=3
[SKT 해킹 사태] SKT, 유심 재고 없으니 “소프트웨어적으로 해결”...내달 유심 포맷 도입,https://www.boannews.com/media/view.asp?idx=137045&page=2&kind=1
[SKT 해킹 사태] 민관조사단, “SKT 가입자식별키 유출 확인...유심보호서비스는 가입해야”,https://www.boannews.com/media/view.asp?idx=137043&page=2&kind=1
[테크칼럼] AI 시대의 보안 패러다임, MLSecOps가 필요한 이유,https://www.boannews.com/media/view.asp?idx=137040&page=2&kind=5
한국암호포럼 주관, ‘2025년 국가암호공모전’ 개최,https://www.boannews.com/media/view.asp?idx=137034&page=2&kind=3
한드림넷, 재팬IT위크서 일본用 보안스위치 선봬,https://www.boannews.com/media/view.asp?idx=137039&page=2&kind=3
[SKT 해킹 사태] SKT, ISMS 인증받아도 해킹..실효성 강화 시급,https://www.boannews.com/media/view.asp?idx=137038&page=2&kind=1
[SKT 해킹 사태] 과기정통부 장관, “(SKT) 신고 지연은 합당한 처벌 받을 것”,https://www.boannews.com/media/view.asp?idx=137037&page=2&kind=1
[SKT 해킹 사태] SKT 유심 교체 하루 만에 28만명,https://www.boannews.com/media/view.asp?idx=137036&page=2&kind=3
열화상 솔루션 한눈에..MDS테크 ‘FLIR 보안 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=136987&page=2&kind=3
[SKT 해킹 사태] SKT 집단 행동 효과 있을까?...솜방망이 배상이 문제 키워,https://www.boannews.com/media/view.asp?idx=137033&page=2&kind=1
[RSAC 2025] 세계 최대 정보보안 전시·콘퍼런스 개막...보안 공동체 연대 강조,https://www.boannews.com/media/view.asp?idx=137030&page=2&kind=1
[배종찬의 보안 빅데이터] 인공지능(AI)의 일상화와 ‘中 딥시크’ 충격파,https://www.boannews.com/media/view.asp?idx=137032&page=2&kind=3
이스라엘 클라우드-AI 보안 기업 센트라, 5000만달러 투자 유치,https://www.boannews.com/media/view.asp?idx=137009&page=2&kind=3
KB국민은행-오리엔텀, 양자 컴퓨팅으로 금융 혁신한다,https://www.boannews.com/media/view.asp?idx=137029&page=2&kind=3
‘축사로’가 끝 아니었다...농진청 회원정보  47만 건 이상 유출 확인,https://www.boannews.com/media/view.asp?idx=137028&page=2&kind=1
[SKT 해킹 사태] SKT 해킹에 쓰인 ‘BPF도어’ 악성코드는 무엇?,https://www.boannews.com/media/view.asp?idx=137027&page=2&kind=1
밤에도 선명하게...다화테크놀로지, 위즈컬러 신제품 라인업 공개,https://www.boannews.com/media/view.asp?idx=137024&page=3&kind=3
펜타시큐리티, 지능형 WAAP ‘와플’ 20주년 맞아,https://www.boannews.com/media/view.asp?idx=137001&page=3&kind=3
기원테크, 이메일 운영 보안 ‘표준화 항목’ 승인,https://www.boannews.com/media/view.asp?idx=137018&page=3&kind=3
[국회 과방위 성명] SKT 해킹 사태, 국민 불안 방치 말고 실질적 피해 대책 즉각 시행하라! [전문],https://www.boannews.com/media/view.asp?idx=137026&page=3&kind=1
[SKT 해킹 사태] 유심보호서비스, 예상 대기 시간 125시간?...단말기에서도 유심 비밀번호 설정 가능,https://www.boannews.com/media/view.asp?idx=137023&page=3&kind=1
[SKT 해킹 사태] 정부와 정치권, 해킹 대책 미흡한 SKT 질타,https://www.boannews.com/media/view.asp?idx=137025&page=3&kind=1
[SKT 해킹 사태] KISA, SK텔레콤 유심 해킹 ‘신고 시간’ 혼선 해명,https://www.boannews.com/media/view.asp?idx=137019&page=3&kind=1
