Title,Link
[한국정보공학기술사 보안을 論하다-15] 정보보호 공시제도 시행 10주년과 앞으로 나아가야 할 길,https://www.boannews.com/media/view.asp?idx=137241&page=1&kind=6
엑스게이트 “SKT 사태로 VPN 문의 급증...양자 통신 보안으로 무장”,https://www.boannews.com/media/view.asp?idx=137240&page=1&kind=3
명품 브랜드 디올, “해킹으로 고객 정보 유출”,https://www.boannews.com/media/view.asp?idx=137238&page=1&kind=1
[SKT 해킹 사태] “보안 투자 확대, 조사 결과 나온 후에나”,https://www.boannews.com/media/view.asp?idx=137237&page=1&kind=1
印 CCTV, 사치품서 ‘필수품’ 으로,https://www.boannews.com/media/view.asp?idx=137233&page=1&kind=4
정부, “GPU 1만장 확보 속도전”...AI 생태계 GPU 순차 지원,https://www.boannews.com/media/view.asp?idx=137232&page=1&kind=2
[부고] 김현준 한국사회보장정보원장 장인상,https://www.boannews.com/media/view.asp?idx=137231&page=1&kind=1
[IP칼럼] 특허무효율 낮추기, 지식재산 강국의 절대선인가?,https://www.boannews.com/media/view.asp?idx=137211&page=1&kind=1
동국대 국제정보보호대학원, 후기 신입생 모집...국내 최초 AI보안 전공,https://www.boannews.com/media/view.asp?idx=137226&page=1&kind=3
경찰, “지난달 DDoS 공격은 선관위 착오”,https://www.boannews.com/media/view.asp?idx=137220&page=1&kind=1
KSII-KIoT-KSAEM, 학술·산업·국방 분야 학술교류와 사업 협력 제휴,https://www.boannews.com/media/view.asp?idx=137239&page=1&kind=3
20000000원...안랩, 산불 기부금 전달,https://www.boannews.com/media/view.asp?idx=137236&page=1&kind=3
윈스테크넷-랩씨드, 산업별 맞춤 솔루션 제공...클라우드+AI 결합,https://www.boannews.com/media/view.asp?idx=137235&page=1&kind=3
팔로알토, AI보안 통합 플랫폼 ‘프리즈마 에어즈’ 발표,https://www.boannews.com/media/view.asp?idx=137234&page=1&kind=3
이스트소프트, 광주 AI사관학교 사업 수주...90억 규모,https://www.boannews.com/media/view.asp?idx=137230&page=1&kind=3
MS, 연례 개발자 행사 ‘빌드 2025’ 20일 개최,https://www.boannews.com/media/view.asp?idx=137229&page=1&kind=3
조달청, 수요기관과 조달기업 한자리에 모이는 ‘파트너십 데이’ 개최,https://www.boannews.com/media/view.asp?idx=137228&page=1&kind=2
[PIS FAIR 2025 미리보기] 삼오씨엔에스,https://www.boannews.com/media/view.asp?idx=137159&page=1&kind=3
[PIS FAIR 2025 미리보기] 이너버스,https://www.boannews.com/media/view.asp?idx=137158&page=1&kind=3
AI 장착 초강력 ‘악성 봇’, 여행 산업 노린다,https://www.boannews.com/media/view.asp?idx=137227&page=1&kind=3
포티넷, QKD·PQC로 양자컴 위협 대응,https://www.boannews.com/media/view.asp?idx=137224&page=1&kind=3
에스오에스랩-이엠에스, 스마트 복합센서 시장 ‘협공’,https://www.boannews.com/media/view.asp?idx=137223&page=1&kind=3
피앤피시큐어, 2년 연속 ‘제로트러스트 시범사업’ 선정,https://www.boannews.com/media/view.asp?idx=137222&page=1&kind=3
[PIS FAIR 2025 미리보기] 이지서티,https://www.boannews.com/media/view.asp?idx=137164&page=1&kind=3
[PIS FAIR 2025 미리보기] 지키다,https://www.boannews.com/media/view.asp?idx=137162&page=1&kind=3
