Title,Link
SKT 고발 변호사 “KT·LGU+도 해킹 드러나면 고발”,https://www.boannews.com/media/view.asp?idx=137399&page=1&kind=1
[포토뉴스] 한국정보공학기술사회-보안뉴스, 업무협약 체결,https://www.boannews.com/media/view.asp?idx=137400&page=1&kind=3
[한국정보공학기술사 보안을 論하다-16] 금융 클라우드 환경에서 보안의 중요성,https://www.boannews.com/media/view.asp?idx=137397&page=1&kind=1
KISA-금감원, 불법 대출 스팸 문자 차단 협력,https://www.boannews.com/media/view.asp?idx=137395&page=1&kind=2
[SKT 해킹 사태] 정부 조사, KT·LGU+ 등으로 전면 확대...본지 단독보도 직후,https://www.boannews.com/media/view.asp?idx=137392&page=1&kind=1
100억원 투입, 충청권에 제2 정보보호 클러스터 구축,https://www.boannews.com/media/view.asp?idx=137394&page=1&kind=2
[SKT 해킹 사태] SKT 미흡한 정보보호 투자...위법 아니지만 배임인 이유는?,https://www.boannews.com/media/view.asp?idx=137391&page=1&kind=1
[이슈칼럼] 기업 보안 위기 대응의 핵심 ‘사이버 복원력’-1편,https://www.boannews.com/media/view.asp?idx=137390&page=1&kind=1
[배종찬의 보안 빅데이터] 대통령 선거까지 침투한 피싱과 해킹,https://www.boannews.com/media/view.asp?idx=137386&page=1&kind=1
[카드뉴스] 한눈에 읽는 2025 대선 3대 후보의 ‘보안·안보 공약’,https://www.boannews.com/media/view.asp?idx=137385&page=1&kind=2
한국정보통신자격협회-춘천미래동행재단, 중장년·시니어의 지속 가능한 사회 참여 위해 맞손,https://www.boannews.com/media/view.asp?idx=137401&page=1&kind=3
엔피코어, 랜섬웨어 솔루션 베트남 공략...‘베트남 시큐리티 서밋 2025’ 참가,https://www.boannews.com/media/view.asp?idx=137396&page=1&kind=3
에스에스앤씨, 글로벌 보안 기업 센티넬원 총판 계약,https://www.boannews.com/media/view.asp?idx=137398&page=1&kind=3
이스트시큐리티, ‘제로트러스트 보안 실증 시범사업’ 주관 사업자 선정,https://www.boannews.com/media/view.asp?idx=137393&page=1&kind=3
시선AI, 무자각 지속 인증 기술 ‘CSAP 표준 등급’ 획득,https://www.boannews.com/media/view.asp?idx=137389&page=1&kind=1
KISIA·송파구, 정보보호산업 인재 양성...7월 초까지 교육생 모집,https://www.boannews.com/media/view.asp?idx=137388&page=1&kind=3
인스피언, PIS FAIR 현장서 ERP 특화 보안 솔루션 소개,https://www.boannews.com/media/view.asp?idx=137387&page=1&kind=3
사이버 보안 기업 취업하고 싶어? 27일 정보보호 취업박람회 개최,https://www.boannews.com/media/view.asp?idx=137380&page=1&kind=2
쿠도커뮤니케이션, 과천고와 AI·보안 교육 프로그램 진행,https://www.boannews.com/media/view.asp?idx=137384&page=1&kind=3
누리랩, ‘AI 피싱 검출’ 미국 특허 등록,https://www.boannews.com/media/view.asp?idx=137382&page=1&kind=3
파수, 베트남서 차세대 데이터 관리 전략 공유...현지 공략 가속화,https://www.boannews.com/media/view.asp?idx=137381&page=1&kind=1
파이오링크 “올해 동남아 매출 30% 이상 성장 목표”,https://www.boannews.com/media/view.asp?idx=137383&page=1&kind=3
핀텔, 자율운송 상용차 실증사업 참여... 자율주행 시장 본격 진입,https://www.boannews.com/media/view.asp?idx=137379&page=1&kind=3
국가공인 네트워크관리사·영상정보관리사 등 자격시험, 원서접수 5월 30일 마감,https://www.boannews.com/media/view.asp?idx=137378&page=1&kind=3
