Title,Link
[예스24 해킹] 예스24 사이트 복구...e북 등 일부는 아직,https://www.boannews.com/media/view.asp?idx=137656&page=1&kind=1
[사람과 보안] “모든 국민이 첩보원이다?” 중국 국가정보법의 실체,https://www.boannews.com/media/view.asp?idx=137652&page=1&kind=1
개인정보위, 한국연구재단 개인정보 유출 조사 착수,https://www.boannews.com/media/view.asp?idx=137651&page=1&kind=1
딥시크 R1 위장한 멀웨어, 암호화폐 지갑 노린다,https://www.boannews.com/media/view.asp?idx=137644&page=1&kind=1
의료·교육기관 피해 급증...SK쉴더스, 1분기 랜섬웨어 보고서 발간,https://www.boannews.com/media/view.asp?idx=137650&page=1&kind=1
[SKT 해킹 사태] SKT 손해배상 소송, 580명 100만원 청구,https://www.boannews.com/media/view.asp?idx=137649&page=1&kind=1
[예스24 해킹] 예스24 불성실 소통에 ‘공지 의무 강화’ 목소리↑,https://www.boannews.com/media/view.asp?idx=137648&page=1&kind=1
[IP칼럼] 기술 주권의 보루, 사이버보안과 IP전략의 결합,https://www.boannews.com/media/view.asp?idx=137646&page=1&kind=1
[카드뉴스] '퀀텀쇼크' 시대가 성큼 양자컴퓨터, 기업의 방벽을 깨다,https://www.boannews.com/media/view.asp?idx=137645&page=1&kind=1
[예스24 해킹] 랜섬웨어 협상 가능성도? 양치기 소년된 예스24,https://www.boannews.com/media/view.asp?idx=137638&page=1&kind=1
[신간] 데이비드 월 교수의 ‘사이버 범죄’ 개정판,https://www.boannews.com/media/view.asp?idx=137659&page=1&kind=3
상주시, 2025년 개인정보보호 전문교육 및 실무협의회 개최,https://www.boannews.com/media/view.asp?idx=137657&page=1&kind=1
지란지교시큐리티-아이오트러스트, 디지털자산 전환 대응 위해 ‘협력’,https://www.boannews.com/media/view.asp?idx=137647&page=1&kind=3
와이즈콘, 지하주차장 주차유도 시스템에 실시간 화재 감지 기능 실증,https://www.boannews.com/media/view.asp?idx=137642&page=1&kind=3
두나무X티오리, 웹3 보안 인재 양성 ‘업사이드 아카데미’ 2기 성료… “채용 연계 기획할 것”,https://www.boannews.com/media/view.asp?idx=137641&page=1&kind=3
피싱키트 25달러면 누구나 해커된다?,https://www.boannews.com/media/view.asp?idx=137640&page=1&kind=3
메타버스서 보트 연습, 라온메타-옐로우박스 실감형 콘텐츠 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137639&page=1&kind=3
개인정보위, “아마존·MS·네이버, 클라우드 고객사 안전조치 안내 부족”…개선 권고,https://www.boannews.com/media/view.asp?idx=137637&page=1&kind=2
개인정보위, ‘개인정보 유출’ 전북대·이화여대에 과징금 철퇴,https://www.boannews.com/media/view.asp?idx=137635&page=1&kind=1
[예스24 해킹] 예스24 입장 선회? “고객정보 유출 확인되면 바로 통지하겠다”,https://www.boannews.com/media/view.asp?idx=137636&page=1&kind=1
TTA, 내달 민간 부문 CCTV 보안인증 서비스 제공,https://www.boannews.com/media/view.asp?idx=137634&page=1&kind=1
샌즈랩 “지식재산권 침해 사칭 악성메일 극성…국내 감염 사례 급증”,https://www.boannews.com/media/view.asp?idx=137632&page=1&kind=1
[한국정보보호학회 칼럼] 바이오인식 기술 활용한 사람과 동물 인증 활성화,https://www.boannews.com/media/view.asp?idx=137633&page=1&kind=6
구직자 사칭 해킹 조직 핀6, 인사팀 겨냥 백도어 유포,https://www.boannews.com/media/view.asp?idx=137630&page=1&kind=1
스노우플레이크, 금융보안원 클라우드 안정성평가 PaaS 인증 획득,https://www.boannews.com/media/view.asp?idx=137631&page=1&kind=3
앤앤에스피, ‘산업용 네트워크 프로토콜 시험평가 장비 개발 과제’ 수주,https://www.boannews.com/media/view.asp?idx=137629&page=1&kind=3
쿠도커뮤니케이션, 서울시청 서울안전통합상황실 영상정보시스템 고도화 구축,https://www.boannews.com/media/view.asp?idx=137625&page=1&kind=3
SKT, 침해 사고 관련 정보 통합 안내 페이지 개설,https://www.boannews.com/media/view.asp?idx=137628&page=1&kind=1
순찰로봇에 첨단 반도체 접목... 도구공간, 인피니언 공식 파트너 선정,https://www.boannews.com/media/view.asp?idx=137627&page=1&kind=3
시큐어시스템즈, 서부발전 사업 수주...AI 보안관제 비즈니스 순항,https://www.boannews.com/media/view.asp?idx=137626&page=1&kind=3
파수, 글로벌 무대서 AI 데이터 인프라 전략 제시,https://www.boannews.com/media/view.asp?idx=137620&page=2&kind=3
[예스24 해킹] KISA, 예스24 입장문 반박...“기술지원에 협조안해”,https://www.boannews.com/media/view.asp?idx=137624&page=2&kind=1
