Title,Link
[프로필] 과기정통부 장관 후보 배경훈 LG AI 연구원장,https://www.boannews.com/media/view.asp?idx=137793&page=1&kind=2
[SKT 해킹 사태] SKT, 24일 신규 영업 재개,https://www.boannews.com/media/view.asp?idx=137792&page=1&kind=1
신한DS, 베트남 소프트웨어 사업 가속화…티맥스소프트와 현지 파트너십,https://www.boannews.com/media/view.asp?idx=137789&page=1&kind=3
[이슈칼럼] 미국 개입에 따른 중동의 격랑, 그리고 다가오는 테러 위협 고조,https://www.boannews.com/media/view.asp?idx=137788&page=1&kind=1
‘무력 충돌’ 이란-이스라엘, 사이버 전쟁도 확전,https://www.boannews.com/media/view.asp?idx=137784&page=1&kind=1
과기정통부 LG맨 배경훈, 중기부 네이버 고문 한성숙...11개 부처 장관후보 지명,https://www.boannews.com/media/view.asp?idx=137785&page=1&kind=2
랜섬웨어 범죄자 위한 ‘어둠의 법무 서비스’,https://www.boannews.com/media/view.asp?idx=137783&page=1&kind=1
트렌드마이크로-델-엔비디아, AI 기반 통합 보안 어플라이언스 공동 제공,https://www.boannews.com/media/view.asp?idx=137782&page=1&kind=3
전 분야 마이데이터 확대 밑작업...전송 기준 구체화, 절차 규정,https://www.boannews.com/media/view.asp?idx=137780&page=1&kind=2
민관협력으로 AI 학습데이터 모은다...정부 ‘AI 파운데이션 모델 프로젝트’ 데이터 공급기관 공모,https://www.boannews.com/media/view.asp?idx=137778&page=1&kind=2
LG유플러스, ‘퀀텀코리아 2025’서 양자보안 업무환경 공개,https://www.boannews.com/media/view.asp?idx=137794&page=1&kind=1
SDT, ‘퀀텀코리아 2025’서 극저온 냉각기 실물 최초 공개…양자컴퓨터 인프라 국산화 신호탄,https://www.boannews.com/media/view.asp?idx=137791&page=1&kind=3
라온시큐어, 블록체인 기반 ‘모바일 장애인등록증’ 구축 나선다,https://www.boannews.com/media/view.asp?idx=137787&page=1&kind=3
SGA솔루션즈, 서버 보안 솔루션 ‘레드캐슬 V6.0’ CC인증 EAL4 획득,https://www.boannews.com/media/view.asp?idx=137781&page=1&kind=1
