Title,Link
[배종찬의 보안 빅데이터] 새 정부 ‘AI전도사’들의 특명은 ‘사이버 보안’,https://www.boannews.com/media/view.asp?idx=137926&page=1&kind=2
[현장탐방] 씨프로, 가장 FUN한 SHOWROOM을 만나다,https://www.boannews.com/media/view.asp?idx=137851&page=1&kind=3
써브웨이 홈페이지에 다른 사람 주문 정보 고스란히,https://www.boannews.com/media/view.asp?idx=137923&page=1&kind=1
서울시, 입법·정책 자문에 변리사 참여...변리사회, “환영”,https://www.boannews.com/media/view.asp?idx=137922&page=1&kind=1
케이사인, 국정원 암호모듈 KCMVP 인증 획득,https://www.boannews.com/media/view.asp?idx=137917&page=1&kind=3
[취임사] 류제명 신임 과기정통부 2차관 “AI 시대, 견고한 보안으로 꽃피운다”,https://www.boannews.com/media/view.asp?idx=137915&page=1&kind=2
카스퍼스키, “산업 시설 7%는 필요시에만 취약점 대응”,https://www.boannews.com/media/view.asp?idx=137911&page=1&kind=1
[한국정보공학기술사 보안을 論하다-18] 하이브리드 메시 보안 관제를 위한 전략: CNAPP과 XDR,https://www.boannews.com/media/view.asp?idx=137912&page=1&kind=5
사람 잡는 해커…사이버 위협, 현실에서 생명 좌우,https://www.boannews.com/media/view.asp?idx=137900&page=1&kind=1
과기정통부가 뽑은 2025년 우수 보안 기술 9종은?,https://www.boannews.com/media/view.asp?idx=137909&page=1&kind=2
[인사] 한국인터넷진흥원,https://www.boannews.com/media/view.asp?idx=137927&page=1&kind=2
2025년 항공보안 논문 공모전 개최,https://www.boannews.com/media/view.asp?idx=137925&page=1&kind=2
[인사] 특허청,https://www.boannews.com/media/view.asp?idx=137920&page=1&kind=2
티켓 예매 부정 행위 잡는다...티켓링크, 에버세이프로 스크래핑·매크로 실시간 차단,https://www.boannews.com/media/view.asp?idx=137918&page=1&kind=3
KISIA, 청소년 사이버·AI 보안 진로 체험 여가부 인증 획득,https://www.boannews.com/media/view.asp?idx=137914&page=1&kind=2
개인정보위, 개인정보 전문기관 가동…“흩어진 내 정보 모아주고 통합관리까지”,https://www.boannews.com/media/view.asp?idx=137913&page=1&kind=2
신한DS-넷위트니스, 사이버보안 사업 파트너십 맺어,https://www.boannews.com/media/view.asp?idx=137907&page=1&kind=3
한컴위드, AI 기반 안면인식 기술로 스마트패스 시장 공략,https://www.boannews.com/media/view.asp?idx=137910&page=1&kind=3
오리엔텀, EQ 테크 에너지와 ‘양자 전기 그리드’ 개발 협력 MOU,https://www.boannews.com/media/view.asp?idx=137908&page=1&kind=3
금융보안원, 혁신금융서비스 보안대책 평가...2년간 총 83건 진행,https://www.boannews.com/media/view.asp?idx=137906&page=1&kind=2
티피링크, 통합 중앙집중 관리 플랫폼 ‘Omada Central’ 공개,https://www.boannews.com/media/view.asp?idx=137905&page=1&kind=3
모바일 주민증·국가보훈등록증으로도 휴대폰 개통한다,https://www.boannews.com/media/view.asp?idx=137904&page=1&kind=2
정부, 국가 전략사업 연계 보안 집중 발굴...OT 보안 강조,https://www.boannews.com/media/view.asp?idx=137893&page=1&kind=2
회의록도 에이닷으로...SKT. 신규 AI 서비스 2종 베타 출시,https://www.boannews.com/media/view.asp?idx=137898&page=1&kind=3
AI와 대화하며 윔블던 테니스 몰입 관람...IBM ‘매치 챗’ 공개,https://www.boannews.com/media/view.asp?idx=137897&page=1&kind=3
탈레스, 비정형 데이터 실시간 가시성 및 제어 강화 ‘FAM’ 출시,https://www.boannews.com/media/view.asp?idx=137895&page=1&kind=3
[IP포토] 특허, 대한독립을 외치다...역사박물관, ‘독립과 발명’ 기획전 열어,https://www.boannews.com/media/view.asp?idx=137896&page=1&kind=2
S2W, 금융권 AX 가속화…피노텍·시그넷파트너스와 파트너십,https://www.boannews.com/media/view.asp?idx=137894&page=1&kind=3
과기정통부 2차관 류제명 발탁, 인공지능·네트워크 정책 두루 거친 ‘실무형 전문가’,https://www.boannews.com/media/view.asp?idx=137892&page=1&kind=2
행안부 與 중진 윤호중, 기재부 구윤철 등 6개 부처 장관 인선... 차관급 인사도 단행,https://www.boannews.com/media/view.asp?idx=137891&page=1&kind=2
‘IoT 보안인증 제도’ 확산 추진... 제품 생애주기 보안 강화,https://www.boannews.com/media/view.asp?idx=137890&page=2&kind=2
[구축사례] 부안군청, 통합관제센터 자산관리 솔루션으로 스마트 도시 고도화 기반 마련,https://www.boannews.com/media/view.asp?idx=137855&page=2&kind=2
악성 앱 카톡으로 알려준다? LG유플러스, 30일부터 피싱 범죄 안내 서비스 시행,https://www.boannews.com/media/view.asp?idx=137889&page=2&kind=3
LG유플러스. 글로벌 양자표준 연합의 초대 의장사 선정,https://www.boannews.com/media/view.asp?idx=137888&page=2&kind=3
기술 보호 전략과 정책과제는? 중앙대 보안대학원 세미나 개최,https://www.boannews.com/media/view.asp?idx=137887&page=2&kind=2
에픽게임즈, ‘다크 패턴’으로 게이머 속이다 철퇴...1억2600만달러 환불,https://www.boannews.com/media/view.asp?idx=137879&page=2&kind=1
[사람과 보안] 이재명 정부 AI 전략을 다시 묻다① “100조 AI 질주, 브레이크가 없다”,https://www.boannews.com/media/view.asp?idx=137881&page=2&kind=2
사이버보안신기술융합학회, 한국인공지능산업법학회와 MOU 체결,https://www.boannews.com/media/view.asp?idx=137884&page=2&kind=3
사이버보안신기술융합학회 창립...초대 학회장에 동국대 이재우 석좌교수,https://www.boannews.com/media/view.asp?idx=137883&page=2&kind=2
NIA, 가명정보 활용 민관 협력 네트워크 장 펼쳐,https://www.boannews.com/media/view.asp?idx=137885&page=2&kind=2
과기정통부 “SKT 해킹 사고 조사결과 30일 발표”...공개는 차주 중,https://www.boannews.com/media/view.asp?idx=137886&page=2&kind=2
