Title,Link
노르웨이 댐 해킹 당해 수문 밸브 완전 개방…핵심 인프라 위협 현실화,https://www.boannews.com/media/view.asp?idx=137955&page=1&kind=1
[IP포토] 여성벤처기업, 글로벌 진출은 ‘특허’와 함께,https://www.boannews.com/media/view.asp?idx=137954&page=1&kind=1
[2025 지문·정맥 인식 리포트] 피부 아래 보안 열쇠, 손이 증명하는 나,https://www.boannews.com/media/view.asp?idx=137951&page=1&kind=3
[2025 정보보호공시] 올해 보안 톱 3도 삼성전자·KT·쿠팡…IT 투자 대비 보안 투자 비율은 아쉬워,https://www.boannews.com/media/view.asp?idx=137949&page=1&kind=3
ETRI, 디지털 신원지갑 국제표준 주도 나선다,https://www.boannews.com/media/view.asp?idx=137945&page=1&kind=2
[제품리뷰] 티피링크, Omada Central 네트워크 및 보안감시 통합 솔루션,https://www.boannews.com/media/view.asp?idx=137868&page=1&kind=3
상표경찰, 부산서 ‘위조 명품’ 등 대량 적발…단일사건 최대 규모,https://www.boannews.com/media/view.asp?idx=137942&page=1&kind=1
유큐브-이와이엘, DB에 양자 기술 접목...공공·국방·의료 보안 시장 공략,https://www.boannews.com/media/view.asp?idx=137941&page=1&kind=3
‘정부 사기 피해 구제 신청’ 문자, 가짜입니다...누리랩 “공공기관 사칭 피싱 진화,https://www.boannews.com/media/view.asp?idx=137938&page=1&kind=1
[이재명 정부에 바란다-2] 사이버보안 R&D, ‘개발’과 함께 ‘실증’ 사업에도 예산 확대해야,https://www.boannews.com/media/view.asp?idx=137937&page=1&kind=2
이엘피케이뉴, 영상분석 주차유도 관제 솔루션 출시,https://www.boannews.com/media/view.asp?idx=137953&page=1&kind=3
위트콘, 사회적 약자위한 AI 스마트 모빌리티 혁신 모델 제시,https://www.boannews.com/media/view.asp?idx=137950&page=1&kind=3
이지서티, 올 상반기 수주량 30% 이상 급증, 사상 최대 실적 전망,https://www.boannews.com/media/view.asp?idx=137948&page=1&kind=3
SDT-성균관대, 양자 기술 인재 양성 맞손,https://www.boannews.com/media/view.asp?idx=137947&page=1&kind=2
AI 중심 미래 전략 위한 민·관·연 협력...‘IT21 글로벌 컨퍼런스’ 개막,https://www.boannews.com/media/view.asp?idx=137946&page=1&kind=2
페스카로, 美 Auto-ISAC 파트너스 위크에서 사이버보안 디지털전환 솔루션 ‘CSMS 포털’ 선공개,https://www.boannews.com/media/view.asp?idx=137944&page=1&kind=3
데이터산업협회·인공지능협회·제로트러스트보안협회 MOU 체결,https://www.boannews.com/media/view.asp?idx=137943&page=1&kind=3
파이오링크, 중소기업 정보보호 지원사업...보안제품 및 SECaaS 공급기업 선정,https://www.boannews.com/media/view.asp?idx=137939&page=1&kind=3
수산아이앤티-바로AI, ‘AI 클라우드 및 보안 인프라 사업화’ MOU,https://www.boannews.com/media/view.asp?idx=137940&page=1&kind=3
엠클라우독 생성형 AI 솔루션 ‘아이채터’ 출시 세미나 성료,https://www.boannews.com/media/view.asp?idx=137935&page=1&kind=3
안랩 V3 모바일 시큐리티, 최신 AV-TEST 평가 만점으로 인증 획득,https://www.boannews.com/media/view.asp?idx=137936&page=1&kind=3
트렌드마이크로, IDC 마켓스케이프 CNAPP 부문 리더 선정,https://www.boannews.com/media/view.asp?idx=137933&page=1&kind=3
한국기업보안, 인증서 자동화 관리 솔루션 ‘UCLM’ 공식 홈페이지 오픈,https://www.boannews.com/media/view.asp?idx=137934&page=1&kind=3
TTA, 국내 최초 AI 모델 전용 ‘AI 보안 시험서비스’ 개시,https://www.boannews.com/media/view.asp?idx=137932&page=1&kind=2
아홀드 델하이즈, 랜섬웨어 공격에 220만명 개인정보 유출…식음료 업계 역대 최대 피해,https://www.boannews.com/media/view.asp?idx=137931&page=1&kind=1
[2025 정보보호공시] SKT, 2024년 보안투자 8.7%↑…경쟁사 대비 여전히 저조,https://www.boannews.com/media/view.asp?idx=137930&page=1&kind=1
하이크비전코리아, 보안 업계 종사자 대상 ‘2025 하이크비전 설치왕 콘테스트’ 성료,https://www.boannews.com/media/view.asp?idx=137929&page=1&kind=3
인포트렌드, 병렬 파일 시스템 시장 공략 위한 ‘EonStor GSx’ 출시,https://www.boannews.com/media/view.asp?idx=137928&page=1&kind=3
[이슈칼럼] 5살된 초보 자치경찰, 그 동안의 성과와 향후 과제,https://www.boannews.com/media/view.asp?idx=137916&page=1&kind=2
[인사] 한국인터넷진흥원,https://www.boannews.com/media/view.asp?idx=137927&page=1&kind=2
[배종찬의 보안 빅데이터] 새 정부 ‘AI전도사’들의 특명은 ‘사이버 보안’,https://www.boannews.com/media/view.asp?idx=137926&page=2&kind=2
[현장탐방] 씨프로, 가장 FUN한 SHOWROOM을 만나다,https://www.boannews.com/media/view.asp?idx=137851&page=2&kind=3
2025년 항공보안 논문 공모전 개최,https://www.boannews.com/media/view.asp?idx=137925&page=2&kind=2
써브웨이 홈페이지에 다른 사람 주문 정보 고스란히,https://www.boannews.com/media/view.asp?idx=137923&page=2&kind=1
서울시, 입법·정책 자문에 변리사 참여...변리사회, “환영”,https://www.boannews.com/media/view.asp?idx=137922&page=2&kind=1
[인사] 특허청,https://www.boannews.com/media/view.asp?idx=137920&page=2&kind=2
티켓 예매 부정 행위 잡는다...티켓링크, 에버세이프로 스크래핑·매크로 실시간 차단,https://www.boannews.com/media/view.asp?idx=137918&page=2&kind=3
케이사인, 국정원 암호모듈 KCMVP 인증 획득,https://www.boannews.com/media/view.asp?idx=137917&page=2&kind=3
[취임사] 류제명 신임 과기정통부 2차관 “AI 시대, 견고한 보안으로 꽃피운다”,https://www.boannews.com/media/view.asp?idx=137915&page=2&kind=2
KISIA, 청소년 사이버·AI 보안 진로 체험 여가부 인증 획득,https://www.boannews.com/media/view.asp?idx=137914&page=2&kind=2
