Title,Link
[한국정보공학기술사 보안을 論하다-19] 생성형 AI의 이중성: 혁신과 위협 사이에서의 균형,https://www.boannews.com/media/view.asp?idx=138173&page=1&kind=3
‘보안 투자 톱3’ 쿠팡 CISO 메시지 ‘선제적 보안’ ...제146차 CISO 포럼,https://www.boannews.com/media/view.asp?idx=138171&page=1&kind=3
AI에 지메일 요약 시켰더니...해킹 당했다,https://www.boannews.com/media/view.asp?idx=138172&page=1&kind=1
광장, ‘일본 IP실무 최신 동향 및 이슈’ 세미나 개최...日 AIK와 공동,https://www.boannews.com/media/view.asp?idx=138170&page=1&kind=3
[IP포토] 특허심판원, ‘심판-조정 연계제’ 교육 실시...변리사 분쟁 해결 능력 강화차,https://www.boannews.com/media/view.asp?idx=138169&page=1&kind=1
[한국융합보안학회 칼럼] 해킹 위협에 따른 융합보안과 보안의 절대 중요성,https://www.boannews.com/media/view.asp?idx=138168&page=1&kind=6
KT, 5년간 정보보호 예산 1조 쓴다... SKT발 보안투자 경쟁 ‘활활’,https://www.boannews.com/media/view.asp?idx=138166&page=1&kind=3
MS, 포레스터 보고서 ‘제로 트러스트 플랫폼 리더’ 선정,https://www.boannews.com/media/view.asp?idx=138158&page=1&kind=3
[주목! 이 보안기술] “암호화 속 숨은 악성코드 꼼짝마”…수산아이앤티 ‘e프리즘 SSL VA’,https://www.boannews.com/media/view.asp?idx=138152&page=1&kind=2
韓 여성·청년 스타트업 ‘코드그림’, WIPO 글로벌어워즈 수상,https://www.boannews.com/media/view.asp?idx=138142&page=1&kind=1
세이퍼존, ‘서버 아이언 돔’ 출시...서버용 올인원 보안 제품,https://www.boannews.com/media/view.asp?idx=138167&page=1&kind=3
[ISEC 2025 미리보기] 진네트웍스, 키팩터 솔루션으로 인증서 관리 시장 공략,https://www.boannews.com/media/view.asp?idx=138131&page=1&kind=3
ADT캡스, 아르떼뮤지엄에 맞춤형 서비스 도입으로 안전한 관람 환경 조성,https://www.boannews.com/media/view.asp?idx=138163&page=1&kind=3
지란지교소프트, 대한법률구조공단에 ‘나모 크로스에디터4’ 공급,https://www.boannews.com/media/view.asp?idx=138161&page=1&kind=1
명상교육진흥원, ‘AI 수어 명상’ 콘텐츠 개발,https://www.boannews.com/media/view.asp?idx=138160&page=1&kind=3
LG유플러스, 공항철도에 이음 5G 특화망 구축,https://www.boannews.com/media/view.asp?idx=138159&page=1&kind=2
[ISEC 2025 미리보기] 인트브릿지, 정보보호 인증 통합관리 솔루션 ‘컴플라인’ 선보여,https://www.boannews.com/media/view.asp?idx=138143&page=1&kind=3
‘마이크로소프트 엘리베이트’ 출범...사람 우선한 AI 미래 열어,https://www.boannews.com/media/view.asp?idx=138157&page=1&kind=2
국방기술품질원, 국방 AI 표준화 워킹그룹 출범,https://www.boannews.com/media/view.asp?idx=138156&page=1&kind=2
[ISEC 2025 미리보기] 소프트플로우, SBOM 기반 공급망 보안 강화 전략 소개,https://www.boannews.com/media/view.asp?idx=138150&page=1&kind=1
행정안전부-하이트진로 ‘모바일 신분증 활용해 책임 있는 음주문화 조성 위한 업무협약’ 체결,https://www.boannews.com/media/view.asp?idx=138155&page=1&kind=2
