Title,Link
“해킹 당한 기업 악마화보다 국제공조와 민관협력 집중해야”,https://www.boannews.com/media/view.asp?idx=138202&page=1&kind=2
[SGI서울보증 랜섬웨어] SGI서울보증 해킹, 이렇게 당했다,https://www.boannews.com/media/view.asp?idx=138199&page=1&kind=1
[SGI서울보증 랜섬웨어] 기업들 랜섬웨어 비상, 대책은?...“골든타임 대응 핵심”,https://www.boannews.com/media/view.asp?idx=138195&page=1&kind=1
[IP인포] 보안특허지수(STP),https://www.boannews.com/media/view.asp?idx=138193&page=1&kind=1
웹케시, 연구행정시스템에 ‘특허 API 연동’ 전격 도입...산단 설명회서 밝혀,https://www.boannews.com/media/view.asp?idx=138192&page=1&kind=5
에너지·교통·통신도 ‘해커티비스트’ 손안에...국가 인프라 공격 늘었다,https://www.boannews.com/media/view.asp?idx=138191&page=1&kind=1
[IP포토] 특허청, 산하기관 정책협의회 개최...새 정부 新정책 공유,https://www.boannews.com/media/view.asp?idx=138190&page=1&kind=2
[SGI서울보증 랜섬웨어] 보증 없는 대출만 하루 600억? 국내 최대 종합보증기관 업무 마비로 피해 속출,https://www.boannews.com/media/view.asp?idx=138181&page=1&kind=1
[SGI서울보증 랜섬웨어] 공격 배후 추정 ‘건라’, 어떤 조직이길래?,https://www.boannews.com/media/view.asp?idx=138178&page=1&kind=1
업비트, 보안 인재 채용 연계 플랫폼 ‘업사이드 링크’ 오픈,https://www.boannews.com/media/view.asp?idx=138177&page=1&kind=3
유니온바이오메트릭스, 日 야스다가 지분 5% 확보하며 전략적 파트너십 강화,https://www.boannews.com/media/view.asp?idx=138201&page=1&kind=3
앤앤에스피, OT 보안 풀 라인업 완성,https://www.boannews.com/media/view.asp?idx=138200&page=1&kind=3
2025년 제4차 첨단미래포럼·연구회 개최,https://www.boannews.com/media/view.asp?idx=138198&page=1&kind=3
티피링크 가트너 매직 쿼드런트 7년 연속 등재로 글로벌 경쟁력 입증,https://www.boannews.com/media/view.asp?idx=138197&page=1&kind=3
개인정보위-KISA, 클라우드 보안 대책 마련...기업들과 간담회 가져,https://www.boannews.com/media/view.asp?idx=138196&page=1&kind=2
티피링크, 2025 VIGI 제품 세미나 성공리 개최,https://www.boannews.com/media/view.asp?idx=138194&page=1&kind=3
TSCM, 보안 통화용 블루투스 이어버드 출시,https://www.boannews.com/media/view.asp?idx=138189&page=1&kind=3
