Title,Link
[IP칼럼] 6하 원칙으로 본 ‘IP공시’,https://www.boannews.com/media/view.asp?idx=138244&page=1&kind=1
다후아-두현, 2025 파트너스 한잔데이 개최,https://www.boannews.com/media/view.asp?idx=138240&page=1&kind=3
[단독] SGI서울보증 랜섬웨어, 금융보안원이 풀었다... ‘몸값’ 없이 서비스 재개,https://www.boannews.com/media/view.asp?idx=138237&page=1&kind=1
AI가 인터넷 찾아 보고서 쓰고, 식당 예약 해 준다...오픈AI 챗GPT 에이전트 출시,https://www.boannews.com/media/view.asp?idx=138235&page=1&kind=3
[사람과 보안] 이재명 정부 AI 전략을 다시 묻다④ “AI가 잘못했다면, 누가 책임지는가?”,https://www.boannews.com/media/view.asp?idx=138228&page=1&kind=2
마크 저커버그, 페이스북 개인정보 침해 피해 소송 80억달러에 극적 합의,https://www.boannews.com/media/view.asp?idx=138230&page=1&kind=1
수사 기관 통신 이용자 정보 요청 줄었다...국정원, 공수처만 증가,https://www.boannews.com/media/view.asp?idx=138229&page=1&kind=2
[카드뉴스] 2025 랜섬웨어 200% 폭증… ‘MAMONA’ 무흔적 공격까지 차단하는 제로 트러스트,https://www.boannews.com/media/view.asp?idx=138225&page=1&kind=1
단통법 10년 만에 폐지…이통사·유통점 추가지원금 자율화,https://www.boannews.com/media/view.asp?idx=138218&page=1&kind=2
[IP人] 金 특허청장, 日 변리사회장 접견,https://www.boannews.com/media/view.asp?idx=138224&page=1&kind=2
트렌드마이크로, 20년 연속 엔드포인트 보호 부문 가트너 매직 쿼드런트 리더 선정,https://www.boannews.com/media/view.asp?idx=138245&page=1&kind=3
경북도청, 개인정보보호 자문위원회 회의 개최,https://www.boannews.com/media/view.asp?idx=138243&page=1&kind=2
한국항공보안학회, 항공보안 논문공모전 우수논문전 시상식 개최,https://www.boannews.com/media/view.asp?idx=138231&page=1&kind=3
모니터랩, 쏘마 인수...엔드포인트 보안도 아울러,https://www.boannews.com/media/view.asp?idx=138238&page=1&kind=3
청년변호사 모임-솔티랩, 개인 데이터 주권과 법제 개선 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=138236&page=1&kind=3
[ISEC 2025 미리보기] 펜타시큐리티, ‘데이터 중심 보안’ 비전 제시,https://www.boannews.com/media/view.asp?idx=138234&page=1&kind=3
[ISEC 2025 미리보기] 두산디지털이노베이션, 공격 시뮬레이션 기반 EDR 평가 사례 및 전략 제시,https://www.boannews.com/media/view.asp?idx=138137&page=1&kind=3
[ISEC 2025 미리보기] 클라우드 기반 AI 통합 보안 솔루션, 한국 시장에서 빠르게 성장 중인 버카다,https://www.boannews.com/media/view.asp?idx=138135&page=1&kind=3
LG유플러스, 경기북부경찰청과 보이스피싱 예방 캠페인 나서,https://www.boannews.com/media/view.asp?idx=138233&page=1&kind=2
소만사, 마이터어택(MITRE ATT&CK) 2025 최신판 한글 리포트 공개,https://www.boannews.com/media/view.asp?idx=138232&page=1&kind=2
WP과사람학원, VIGI Insight S345ZI 적용해 비대면 교육 환경 구축,https://www.boannews.com/media/view.asp?idx=138227&page=1&kind=3
에이앤티코리아, 불꽃 감지 특화 IP 카메라 ‘APG-02FDI(FD)’ 출시,https://www.boannews.com/media/view.asp?idx=138226&page=1&kind=3
K-항공보안 역량, 프놈펜 신공항 개항 앞둔 캄보디아와 공유,https://www.boannews.com/media/view.asp?idx=138223&page=1&kind=3
