Title,Link
MS 쉐어포인트 취약점 공격...中 연계 해커의 미국 공격?,https://www.boannews.com/media/view.asp?idx=138298&page=1&kind=1
[ISEC 2025 미리보기] 에스에스알, CCE·CVE 취약점 진단 자동화 ‘솔리드스텝’으로 보안 시장 선도,https://www.boannews.com/media/view.asp?idx=138263&page=1&kind=3
샌즈랩, 전국민용 개인정보 유출 알림 ‘IDPW’ 출시…“‘신선한’ 데이터로 골든타임 확보”,https://www.boannews.com/media/view.asp?idx=138292&page=1&kind=3
HPE, ‘인스턴트온’ 무선 액세스 포인트 취약점 두 건 패치…보안 심각도 최고 수준,https://www.boannews.com/media/view.asp?idx=138294&page=1&kind=1
엠클라우독, 문서중앙화 보안 체계 대폭 강화해 랜섬웨어 선제 대응,https://www.boannews.com/media/view.asp?idx=138290&page=1&kind=1
과기정통부-행안부, AI·가상융합기술 기반 재난안전관리 나선다,https://www.boannews.com/media/view.asp?idx=138287&page=1&kind=2
‘양곡판매소 운영현황.hwp’ 첨부파일 무슨 내용?...한글 문서 악용 RokRAT 악성코드 유포,https://www.boannews.com/media/view.asp?idx=138286&page=1&kind=1
“지위 남용·담합 금지”...두나무, 공정거래 자율준수 서약,https://www.boannews.com/media/view.asp?idx=138285&page=1&kind=3
이글루코퍼레이션, AI 기반 선박 통합 보안관리 시스템 관련 특허 취득,https://www.boannews.com/media/view.asp?idx=138283&page=1&kind=3
“모처럼 불어온 보안 투자 바람 ‘눈먼 돈’ 그치지 않길”…박세준 티오리 대표 인터뷰  ①,https://www.boannews.com/media/view.asp?idx=138280&page=1&kind=3
케이제이테크, 일본 정부와 100만달러 규모 정맥인식 리더 공급 등 MOU 체결,https://www.boannews.com/media/view.asp?idx=138300&page=1&kind=3
[ISEC 2025 미리보기] 인젠트, 문서중앙화에 RAG 접목해 보안과 AI 활용 ‘두마리 토끼’,https://www.boannews.com/media/view.asp?idx=138277&page=1&kind=3
[ISEC 2025 미리보기] 시원네트웍스, 지속검증 패스워드리스 인증 솔루션 ‘쿠스토’로 보안 강화,https://www.boannews.com/media/view.asp?idx=138271&page=1&kind=5
인스피언, 온프레미스 EDI 기업 비투비씨앤아이 인수,https://www.boannews.com/media/view.asp?idx=138296&page=1&kind=3
한국에너지정보문화재단, CPO 대상 개인정보보호 교육 진행,https://www.boannews.com/media/view.asp?idx=138295&page=1&kind=3
ICTK, 글로벌 CC인증 ‘EAL6’ 획득,https://www.boannews.com/media/view.asp?idx=138293&page=1&kind=3
양자 보안 기술이 반도체 안으로...이와이엘, 칩-양자 난수 생성기 통합 기술 개발 나서,https://www.boannews.com/media/view.asp?idx=138291&page=1&kind=3
카스퍼스키, SGI서울보증 공격 배후 추정 ‘건라’(Gunra) 랜섬웨어 분석 발표,https://www.boannews.com/media/view.asp?idx=138288&page=1&kind=1
아이폰·애플워치로 지하철 탄다…티머니 사용 가능해져,https://www.boannews.com/media/view.asp?idx=138289&page=1&kind=2
다후아, DSS OneBox 경량형 워크스테이션 출시,https://www.boannews.com/media/view.asp?idx=138284&page=1&kind=3
씨프로, 단일 센서로 구현하는 스마트 파노라마 감시 솔루션,https://www.boannews.com/media/view.asp?idx=138282&page=1&kind=3
스타트업 특허·상표 출원시, 자금조달 최대 17.1배↑,https://www.boannews.com/media/view.asp?idx=138273&page=1&kind=2
SGA솔루션즈, 시스템 접근제어 자회사 ‘SGN’ 합병…제로 트러스트 경쟁력 강화,https://www.boannews.com/media/view.asp?idx=138272&page=1&kind=3
인터넷망 차단 차등 적용 등, 개인정보 안정성 확보 기준 개정안 행정예고,https://www.boannews.com/media/view.asp?idx=138264&page=1&kind=2
마이크로소프트, 쉐어포인트 원격 코드 실행 취약점 긴급 패치 실시,https://www.boannews.com/media/view.asp?idx=138266&page=1&kind=1
폴리스랩, AI로 치안 혁신...2030년까지 360억원 투입,https://www.boannews.com/media/view.asp?idx=138259&page=1&kind=2
“AI 보안은 선택 아닌 필수” AI보안연구회 주최 ‘2025 AI 보안 워크숍’ 성료,https://www.boannews.com/media/view.asp?idx=138265&page=1&kind=3
사이버작전사령부, 국가기술자격 우수과정 인증기관 선정,https://www.boannews.com/media/view.asp?idx=138262&page=1&kind=2
[ISEC 2025 미리보기] 에브리존, 안티랜섬웨어 솔루션 ‘화이트디펜더’로 진화된 보안 전략 제시,https://www.boannews.com/media/view.asp?idx=138251&page=1&kind=2
라온메타-맞추다, AI 기반 자격시험 학습 콘텐츠 MOU,https://www.boannews.com/media/view.asp?idx=138260&page=1&kind=3
NIA, 무선통신에 AI 적용 박차...‘AI-랜 얼라이언스 참여’,https://www.boannews.com/media/view.asp?idx=138261&page=2&kind=2
英, 애플에 백도어 요구하더니…미국 압박에 ‘진퇴양난’,https://www.boannews.com/media/view.asp?idx=138255&page=2&kind=2
K-보안 중동 수출 확대...AI 스페라, 중동 보안 기업 ‘체크섬’과 파트너십,https://www.boannews.com/media/view.asp?idx=138252&page=2&kind=3
