Title,Link
[IP쇼츠] 휴가철 車안전 위협 ‘짝퉁부품’, 철퇴...상표경찰, 적발현장 영상 전격 공개,https://www.boannews.com/media/view.asp?idx=138439&page=1&kind=1
예산 확보 어려운 CISO들…“보안 투자 비율 의무화 원해”,https://www.boannews.com/media/view.asp?idx=138438&page=1&kind=2
[구축사례] 전북 최초로 통합관제센터 구축·운영 ‘완주군 CCTV 통합관제센터’ 탐방記,https://www.boannews.com/media/view.asp?idx=138409&page=1&kind=2
[테크칼럼] 데이터센터 보안의 완성: AI와 생체인증 기반 6단계 통합 방어 전략,https://www.boannews.com/media/view.asp?idx=138415&page=1&kind=6
조달청, 평가위원 3중 관리로 공정·투명성 향상,https://www.boannews.com/media/view.asp?idx=138436&page=1&kind=2
조달청, 내자구매업무 처리 규정 개정으로 묻지마식 입찰참여 방지,https://www.boannews.com/media/view.asp?idx=138433&page=1&kind=2
나스카, 메두사 랜섬웨어 공격으로 400만달러 몸값 요구받아,https://www.boannews.com/media/view.asp?idx=138430&page=1&kind=1
[ISEC 2025 미리보기] 소만사, 엔드포인트와 네트워크 아우른 3대 핵심 솔루션 소개,https://www.boannews.com/media/view.asp?idx=138368&page=1&kind=3
[IP포토] 배테랑 특허심사관, 감사패 받아,https://www.boannews.com/media/view.asp?idx=138420&page=1&kind=1
특허청, 이차전지기술 해외유출 시도 대기업 팀장 구속 기소,https://www.boannews.com/media/view.asp?idx=138418&page=1&kind=1
KISIA 자율보안협의체, 정보보호 R&D 수요 간담회 개최...IITP에 현장 목소리 전달,https://www.boannews.com/media/view.asp?idx=138437&page=1&kind=2
최은수 인텔리빅스 대표 저서 ‘넥스트 AI 비즈니스’, 군장병 AI 필독서로 선정,https://www.boannews.com/media/view.asp?idx=138435&page=1&kind=3
VIGI, AI 기반 ‘피플 카운팅’ 솔루션으로 스마트 매장 운영 지원,https://www.boannews.com/media/view.asp?idx=138434&page=1&kind=3
[인사] 한국인터넷신문협회,https://www.boannews.com/media/view.asp?idx=138432&page=1&kind=3
체크포인트, 3분기 제로트러스트 플랫폼 리더 선정,https://www.boannews.com/media/view.asp?idx=138431&page=1&kind=3
KISA, 아태 20개국 생성형 AI 악용 랜섬웨어 모의훈련 주관,https://www.boannews.com/media/view.asp?idx=138428&page=1&kind=2
F5, AI 워크로드 보안 강화...ADSP에 신규 기능 도입,https://www.boannews.com/media/view.asp?idx=138426&page=1&kind=3
개인정보위, 아태 정책당국들과 아동·청소년 개인정보 보호 정책 마련 나서,https://www.boannews.com/media/view.asp?idx=138427&page=1&kind=2
[ISEC 2025 미리보기] 모니터랩, SSE 기반 AIONCLOUD로 제로 트러스트 보안 시장 공략,https://www.boannews.com/media/view.asp?idx=138375&page=1&kind=3
[ISEC 2025 미리보기] 사이버아크, Venafi 인수로 아이덴티티 보안 전략 강화,https://www.boannews.com/media/view.asp?idx=138369&page=1&kind=3
