Title,Link
[긴급] 리눅스 서버 ‘비상’...탐지 불가능 악성코드 ‘플래그’ 기승,https://www.boannews.com/media/view.asp?idx=138511&page=1&kind=1
지도 반출 사수했지만…“계속될 줄다리기, 절충안 시급”,https://www.boannews.com/media/view.asp?idx=138510&page=1&kind=2
[2025 저시정·저조도 CCTV 제품&솔루션 리포트] 어둠과 안개 속에서도 또렷하게 보인다,https://www.boannews.com/media/view.asp?idx=138425&page=1&kind=3
[카드뉴스] 우크라이나 해커, 러시아 드론 공급사 ‘Gaskar Group’ 사이버 공격,https://www.boannews.com/media/view.asp?idx=138508&page=1&kind=1
日 후지쯔, 1만 큐비트 양자 컴퓨터 개발 시작...2030년 목표,https://www.boannews.com/media/view.asp?idx=138506&page=1&kind=4
현금인출기에서 돈 빼내려...해커 ATM 네트워크에 라즈베리파이 연결,https://www.boannews.com/media/view.asp?idx=138502&page=1&kind=1
[유경동의 IP전략] 하늘의 지배자, 특허의 지배자...DJI,https://www.boannews.com/media/view.asp?idx=138500&page=1&kind=1
[AI와 보안] AI 결합 펑크섹 랜섬웨어, 무료 복호화 도구 공개로 무력화…보안 위협은 여전,https://www.boannews.com/media/view.asp?idx=138496&page=1&kind=1
[기획특집] 2025년 하반기 달라지는 제도 어떤 것 있나?,https://www.boannews.com/media/view.asp?idx=138449&page=1&kind=3
“보안은 전직원이 함께하는 것”…CISO들 ‘실전훈련’과 ‘소통’ 중요성 강조,https://www.boannews.com/media/view.asp?idx=138494&page=1&kind=3
안랩, 임직원 자녀 대상 ‘2025 여름시즌 미래상상 코딩캠프’ 성료,https://www.boannews.com/media/view.asp?idx=138512&page=1&kind=3
[ISEC 2025 미리보기] 아이티스테이션, 윈도우10 지원 종료 대응 ‘TA-FDM’으로 시장 주도,https://www.boannews.com/media/view.asp?idx=138397&page=1&kind=3
[ISEC 2025 미리보기] 한드림넷 VIPM-USM, 머신러닝·AI 기반 통합 위협분석 시스템,https://www.boannews.com/media/view.asp?idx=138389&page=1&kind=3
[ISEC 2025 미리보기] 이지서티, 개인정보 접속기록 비정상 행위 소명 관제 전문 시스템 확대,https://www.boannews.com/media/view.asp?idx=138385&page=1&kind=3
지니언스, 상반기 매출 200억원 첫 돌파,https://www.boannews.com/media/view.asp?idx=138509&page=1&kind=3
대학생 양자 학술 동아리 연합, 오리엔텀 탐방...차세대 양자 인재 교류,https://www.boannews.com/media/view.asp?idx=138507&page=1&kind=3
