Title,Link
2025 재난안전 분야 AI·데이터 활용 포럼 개최,https://www.boannews.com/media/view.asp?idx=138587&page=1&kind=2
고학수 개인정보위원장 “SKT 법과 원칙 따라 엄정하게 처분”...8월 중 제재 가능성,https://www.boannews.com/media/view.asp?idx=138588&page=1&kind=1
하정우 AI 수석, 美 백악관 OSTP 실장 만나 한·미 AI협력 강화,https://www.boannews.com/media/view.asp?idx=138583&page=1&kind=2
국내 기업 CISO 396명이 꼽은 산업별 보안 수준 베스트 & 워스트 9,https://www.boannews.com/media/view.asp?idx=138533&page=1&kind=3
AI 만난 ‘의료기기’, 특허출원 급증...삼성 1위,https://www.boannews.com/media/view.asp?idx=138580&page=1&kind=1
[한국정보보호학회 칼럼] AI 시스템의 해킹 위협과 G7의 새로운 대응 전략, SBOM for AI를 중심으로,https://www.boannews.com/media/view.asp?idx=138529&page=1&kind=2
기업 보안 위협하는 악성 트래픽, ‘ISEC Training Course’에서 잡는 법 배워볼까?,https://www.boannews.com/media/view.asp?idx=138546&page=1&kind=3
[카드뉴스] 전 세계 90%가 쓰는 SharePoint, 중국 해커의 새 먹잇감!,https://www.boannews.com/media/view.asp?idx=138573&page=1&kind=1
글로벌 주얼리 브랜드 ‘판도라’, 해킹으로 고객 데이터 노출,https://www.boannews.com/media/view.asp?idx=138568&page=1&kind=1
[카스퍼스키 CSW 2025] 게임 계정은 해커 꿀단지...신원 정보-아이템 탈취, 기업 보안 위협까지,https://www.boannews.com/media/view.asp?idx=138566&page=1&kind=3
한국보안인증-모젠코리아, BQN 플랫폼 확산 ‘협력’,https://www.boannews.com/media/view.asp?idx=138586&page=1&kind=3
위닝아이, ‘AEROX Finger v3.0’ 우수조달물품 지정,https://www.boannews.com/media/view.asp?idx=138585&page=1&kind=3
“AI 개발 목적부터 명확히”...생성형 AI 시대 개인정보보호 방안 나왔다,https://www.boannews.com/media/view.asp?idx=138581&page=1&kind=2
[ISEC 2025 미리보기] 한국퀀텀컴퓨팅(KQC), ‘ISEC 2025’에서 양자보안 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=138571&page=1&kind=3
[ISEC 2025 미리보기] 팔로알토 네트웍스, ‘랜섬웨어 침해 선제 차단 AI 보안 전략’ 선보인다,https://www.boannews.com/media/view.asp?idx=138569&page=1&kind=3
[ISEC 2025 미리보기] 안랩, 차세대 방화벽 ‘안랩 XTG’ 최신 보안 요구사항 해결,https://www.boannews.com/media/view.asp?idx=138523&page=1&kind=3
카카오모빌리티, KISA ‘신규 보안 취약점 신고포상제’ 공동 운영사 참여,https://www.boannews.com/media/view.asp?idx=138579&page=1&kind=3
엘앤제이테크, 네트워크 포트 모니터링 시장 진출 본격화...‘my-s NPMS’ 판매 계약,https://www.boannews.com/media/view.asp?idx=138576&page=1&kind=3
한국IBM, ‘대중소상생 아카데미’ 통해 중소·중견기업 디지털 전환 지원,https://www.boannews.com/media/view.asp?idx=138574&page=1&kind=3
LG유플러스, ‘AI비즈콜’ 업데이트로 AI 통화 기능 고도화,https://www.boannews.com/media/view.asp?idx=138572&page=1&kind=3
지엔, EU RED 사이버보안인증 대응 플랫폼 ‘Z-RED’ 출시,https://www.boannews.com/media/view.asp?idx=138570&page=1&kind=3
한국후지필름비즈니스이노베이션, ‘K-PRINT 2025’ 참가,https://www.boannews.com/media/view.asp?idx=138567&page=1&kind=3
[신간] 고객과 기업을 파괴하는 해킹과 사이버보안의 모든 것,https://www.boannews.com/media/view.asp?idx=138564&page=1&kind=3
[카스퍼스키 CSW 2025] 사이버 회복력 기반은 ‘예방’-‘보호’-‘대응’,https://www.boannews.com/media/view.asp?idx=138565&page=1&kind=3
“트럼프 특허제 개편시, 韓기업 수수료 부담 9.9배↑”...하나證 분석,https://www.boannews.com/media/view.asp?idx=138563&page=1&kind=1
[블랙햇 2025] 운영체제 없이 작동하는 ‘Shade BIOS’ 악성코드 등장,https://www.boannews.com/media/view.asp?idx=138562&page=1&kind=1
엔피코어, 기술평가 T-2 등급 획득...상위 5% 성장 가능성 인증,https://www.boannews.com/media/view.asp?idx=138561&page=1&kind=3
6월 웹 공격 하루 평균 29만건으로 급증...“사이버 위협 복합 확산”,https://www.boannews.com/media/view.asp?idx=138560&page=1&kind=3
