Title,Link
[KT 무단 소액결제] 초소형 기지국 악용? ARS 헛점 있었나? 전문가 “가능성 충분”,https://www.boannews.com/media/view.asp?idx=139189&page=1&kind=1
랜섬웨어 조직 건라, 이번엔 코스피 상장사 화천기계 해킹…265GB 데이터 탈취,https://www.boannews.com/media/view.asp?idx=139188&page=1&kind=1
[KT 무단 소액결제] “SKT-LG유플러스 가짜 기지국 발견 안 돼”...정부 현안 브리핑,https://www.boannews.com/media/view.asp?idx=139187&page=1&kind=1
[2025 NDR 솔루션 리포트] 진화된 사이버 위협과 고객의 니즈에 대응하기 위해 성장한 ‘NDR’,https://www.boannews.com/media/view.asp?idx=139186&page=1&kind=3
모니터랩, IASF 2025 개최...제로트러스트 실천 전략 공유,https://www.boannews.com/media/view.asp?idx=139184&page=1&kind=3
[KT  무단 소액결제] KT, ‘가짜 기지국’ 공격 피해 가능성...국내 첫 사례 되나?,https://www.boannews.com/media/view.asp?idx=139180&page=1&kind=1
[카드뉴스]AI, 사이버 전쟁의 양날의 검… 보안 수호자이자 침투자가 되는 이유,https://www.boannews.com/media/view.asp?idx=139182&page=1&kind=1
[부고] 김재성 한국바이오인식협의회 회장 빙모상,https://www.boannews.com/media/view.asp?idx=139181&page=1&kind=1
오픈AI 코리아 출범...삼성-SK와도 협력 시사,https://www.boannews.com/media/view.asp?idx=139179&page=1&kind=3
영화 속 해킹 현실로?...“국가 기반시설 사이버 안전 외면은 국민 생명 포기”,https://www.boannews.com/media/view.asp?idx=139178&page=1&kind=2
한국형 증거 개시 제도 도입...中企 기술 탈취 개발비도 배상,https://www.boannews.com/media/view.asp?idx=139190&page=1&kind=2
개인정보위, 논란 증폭 KT-LG유플러스 조사 착수,https://www.boannews.com/media/view.asp?idx=139183&page=1&kind=1
AI로 보이스피싱 잡는다...민관 ‘원팀’ 협의체 발족,https://www.boannews.com/media/view.asp?idx=139171&page=1&kind=2
파수, AI 기반 개인정보 식별·탐지 솔루션 ‘에어 프라이버시' GS인증 획득… 공공-기업 AI 시장 공략,https://www.boannews.com/media/view.asp?idx=139177&page=1&kind=3
펜타시큐리티, 암호화 키 관리 시스템 '디아모 KMS' 고도화 버전 공개,https://www.boannews.com/media/view.asp?idx=139176&page=1&kind=3
S2W, IPO 공모가 최상단 1만3200원,https://www.boannews.com/media/view.asp?idx=139175&page=1&kind=3
세연테크, 보급형 PTZ 뷸렛 IP카메라 출시,https://www.boannews.com/media/view.asp?idx=139174&page=1&kind=3
휴먼인텍, 손바닥 정맥 인식 기반 단말기로 생체인증 시장 본격 진출,https://www.boannews.com/media/view.asp?idx=139173&page=1&kind=3
위드앤아이티, 시소아이티와 스토리지 공급계약 체결,https://www.boannews.com/media/view.asp?idx=139172&page=1&kind=3
서울시, 1인 점포 안전 위한 안심경광등 설치 접수,https://www.boannews.com/media/view.asp?idx=139170&page=1&kind=2
인텔리빅스, 스마트폰만 있으면 된다...모바일 출입보안 솔루션 출시,https://www.boannews.com/media/view.asp?idx=139169&page=1&kind=3
구로구, 지하보도내 이륜차 무단 주행 차단한다,https://www.boannews.com/media/view.asp?idx=139168&page=1&kind=2
양천구, ‘안전한 도시’ 위한 24시간 재난안전상황실 본격 가동,https://www.boannews.com/media/view.asp?idx=139167&page=1&kind=2
국정원, 9월중 N²SF 가이드라인 1.0 발표...‘AI와 보안 공존’ 목표,https://www.boannews.com/media/view.asp?idx=139166&page=1&kind=2
경기도, 경기융합타운 CCTV에 AI 기반 영상인식 시스템 시범 도입,https://www.boannews.com/media/view.asp?idx=139165&page=1&kind=2
OT 보안 강화 나선 미쓰비시 전기, 노조미 네트웍스 인수 계약 체결,https://www.boannews.com/media/view.asp?idx=139164&page=1&kind=4
동훈아이텍, 글로벌 사이버보안 기업 최우수 파트너 잇달아 선정,https://www.boannews.com/media/view.asp?idx=139163&page=1&kind=3
