Title,Link
[한국정보공학기술사 보안을 論하다-24] 국가망보안체계(N2SF) 전환에 따른 공공기관의 새로운 도전,https://www.boannews.com/media/view.asp?idx=139396&page=1&kind=2
티파니코리아 이어 티파니뉴욕까지…해킹 피해 확산,https://www.boannews.com/media/view.asp?idx=139390&page=1&kind=1
[한국정보보호학회 칼럼] 멀티 에이전트·피지컬 AI 시대의 첨단산업 융합보안,https://www.boannews.com/media/view.asp?idx=139257&page=1&kind=5
개인정보위-서울테크노파크, 개인정보 보호 중소기업 지원 나선다,https://www.boannews.com/media/view.asp?idx=139393&page=1&kind=2
한국은 미슐랭 3스타급 해킹 맛집? 금보원 랜섬웨어 보고서 살펴 보니...,https://www.boannews.com/media/view.asp?idx=139377&page=1&kind=1
[IP人] 최승욱 윕스 부사장, ‘경제부총리 표창’ 수상...IP서비스산업 발전 공로,https://www.boannews.com/media/view.asp?idx=139389&page=1&kind=1
[AI와 보안] 챗GPT가 캡차 풀도록 유도...프롬프트 인젝션으로 보안 정책 우회,https://www.boannews.com/media/view.asp?idx=139384&page=1&kind=1
세계 곳곳에서 이동형 불법 기지국 이용 피싱 공격 극성,https://www.boannews.com/media/view.asp?idx=139381&page=1&kind=1
방통위, 롯데카드 유출 ‘연계정보(CI)’ 관리 실태 점검한다,https://www.boannews.com/media/view.asp?idx=139379&page=1&kind=1
[KT 무단 소액결제] 서울 서초구, 일산 동구에서도 피해 있었다,https://www.boannews.com/media/view.asp?idx=139374&page=1&kind=1
엘림광통신, 안정성과 내구성 두 마리 토끼 잡는 산업용 PoE 스위치 신제품 출시,https://www.boannews.com/media/view.asp?idx=139404&page=1&kind=3
베트남에 소방관 직무파견...한국 소방의 해외 첫 파견,https://www.boannews.com/media/view.asp?idx=139398&page=1&kind=2
경기도, 아동범죄 안전망 구축 위해 민·관·경 협력 강화,https://www.boannews.com/media/view.asp?idx=139400&page=1&kind=2
부산시, 가상세계서 안전 서비스 체험하는 ‘1365 트윈 부산’ 오픈,https://www.boannews.com/media/view.asp?idx=139402&page=1&kind=1
해양수산부, 챌린지로 ‘구명조끼 착용 의무화’ 정착시킨다,https://www.boannews.com/media/view.asp?idx=139397&page=1&kind=2
차세대 보안리더 양성 프로그램 ‘화이트햇 스쿨 3기’ 졸업식 개최,https://www.boannews.com/media/view.asp?idx=139401&page=1&kind=2
카스퍼스키 “스마트 SOC, 아태지역 IT·OT 보안 핵심 역할”,https://www.boannews.com/media/view.asp?idx=139399&page=1&kind=3
여의시스템, Moxa 산업용 무선 솔루션 ‘AWK 시리즈’ 공급,https://www.boannews.com/media/view.asp?idx=139395&page=1&kind=3
대통령실, 잇따른 해킹에 범부처 보안대책 마련...“SW 설치 강요도 개선”,https://www.boannews.com/media/view.asp?idx=139394&page=1&kind=1
