Title,Link
제5회 개인정보 보호의 날 기념식 개최...최경진 교수 홍조근정훈장 수상,https://www.boannews.com/media/view.asp?idx=139558&page=1&kind=2
[IP칼럼] NPE는 필요악인가?,https://www.boannews.com/media/view.asp?idx=139560&page=1&kind=1
IP정책 컨트롤타워 ‘지식재산처’ 공식 출범...초대 처장에 김용선 원장 등 거론,https://www.boannews.com/media/view.asp?idx=139559&page=1&kind=1
영화 ‘모범시민’ 실사판...미얀마에 온라인 스캠 센터 운영한 중국 범죄조직원 사형 선고,https://www.boannews.com/media/view.asp?idx=139552&page=1&kind=1
[IP포토] “IP산업 진흥법 등을 최우선 정책과제로”...KAIPS, 미래위 본격 가동,https://www.boannews.com/media/view.asp?idx=139548&page=1&kind=1
윈도우 10, 지원 종료 후 1년간 보안 유지 프로그램 제공... “윈도우 11 전환 권장”,https://www.boannews.com/media/view.asp?idx=139549&page=1&kind=3
몰리네로 포티넷 시니어 디렉터 “한국, 이동통신 산업 최첨단 리더…공격 지속될 것”,https://www.boannews.com/media/view.asp?idx=139538&page=1&kind=3
[카드뉴스] 국정자원 화재로 드러난 보안의 중요성, 우리 일상 보안 습관 점검해야 할 때,https://www.boannews.com/media/view.asp?idx=139539&page=1&kind=1
국정자원 화재, APEC 2025 대응...사이버 위기 경보 ‘관심→주의’ 상향,https://www.boannews.com/media/view.asp?idx=139537&page=1&kind=2
국정자원 화재, 복구 왜 늦나? 카카오 화재 교훈 없었나?...남아있는 궁금증들,https://www.boannews.com/media/view.asp?idx=139532&page=1&kind=1
과기정통부 부총리급 부처로 승격...국가 AI 정책 총괄,https://www.boannews.com/media/view.asp?idx=139563&page=1&kind=2
한태열 한국정보통신자격협회 국장, 제5회 개인정보 보호의날 기념식에서 공로상 수상,https://www.boannews.com/media/view.asp?idx=139562&page=1&kind=3
가명정보로 전세사기 위험 예측...2025 가명정보 활용 경진대회 시상식,https://www.boannews.com/media/view.asp?idx=139561&page=1&kind=2
“업무  PC로 AI·클라우드 안전하게”...국정원, N2SF 가이드라인 정식판 공개,https://www.boannews.com/media/view.asp?idx=139553&page=1&kind=2
방위사업청, 로봇 팔 이용한 폭발물 제거로 임무수행 능력과 장병 안전 동시 강화,https://www.boannews.com/media/view.asp?idx=139545&page=1&kind=5
인터넷 없어도 ‘센티미터(㎝)’까지 위치 확인 가능해진다,https://www.boannews.com/media/view.asp?idx=139544&page=1&kind=2
“귀성길 안전벨트 매듯 스마트폰도 잠그세요”...추석 보안 수칙은?,https://www.boannews.com/media/view.asp?idx=139542&page=1&kind=3
유서트, SSL/TLS 인증서 자동화 관리 솔루션 ‘UCLM v2.0’ 출시,https://www.boannews.com/media/view.asp?idx=139543&page=1&kind=2
슈프리마, 클라우드 기반 출입통제로 미국 보안 시장 공략,https://www.boannews.com/media/view.asp?idx=139540&page=1&kind=3
S2W ‘바이러스 블러틴 2025’ 5년 연속 발표,https://www.boannews.com/media/view.asp?idx=139536&page=1&kind=3
국가AI전략위 ‘AI인프라 거버넌스·혁신 TF’ 구성...국정자원 화재 대응 방안 마련,https://www.boannews.com/media/view.asp?idx=139535&page=1&kind=2
인젠트, 오픈소스 DB 플랫폼 ‘엑스퍼DB’ 라인업 강화,https://www.boannews.com/media/view.asp?idx=139533&page=1&kind=3
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=139534&page=1&kind=2
화재로 손실된 정부 시스템, “대구센터 민간 클라우드로 복구”...4주 소요 예상,https://www.boannews.com/media/view.asp?idx=139531&page=1&kind=1
피지컬AI 글로벌 얼라이언스 출범...“기술 주권 확보”,https://www.boannews.com/media/view.asp?idx=139530&page=1&kind=2
[국정자원 화재] 전자출원 서비스, 정상 운영...일부 장애 완전 복구,https://www.boannews.com/media/view.asp?idx=139529&page=1&kind=1
[AI와 보안] AI 에이전트 ‘통합리모콘’ 같은 ‘MCP’...F5 “권한 관리 등 통합보안 필요”,https://www.boannews.com/media/view.asp?idx=139528&page=1&kind=3
페스카로, 코스닥 상장예비심사 승인...자동차 보안 시장 선도,https://www.boannews.com/media/view.asp?idx=139526&page=1&kind=3
타포, 듀얼 렌즈 베이비캠 ‘Tapo C840’ 출시,https://www.boannews.com/media/view.asp?idx=139527&page=1&kind=3
모니터랩, 범정부 초거대 AI 공통기반 구현 실증사업 참여,https://www.boannews.com/media/view.asp?idx=139525&page=1&kind=2
“추석, 황금연휴 ‘보안’도 챙기세요” SK쉴더스, 연휴 보안수칙 공개,https://www.boannews.com/media/view.asp?idx=139517&page=2&kind=3
라온시큐어, 사이버링크스와 DID 라이선스 계약...日 디지털 자격증명 시작 공략,https://www.boannews.com/media/view.asp?idx=139521&page=2&kind=3
파수, N²SF 실증사업 참여...국가 AI 보안체계 확산 동력 확보,https://www.boannews.com/media/view.asp?idx=139519&page=2&kind=2
소실된 국가정보자원관리원 96개 시스템, 대구로 이전,https://www.boannews.com/media/view.asp?idx=139522&page=2&kind=1
여의시스템, ‘피지컬 AI 하드웨어 인프라 파트너’로 도약,https://www.boannews.com/media/view.asp?idx=139507&page=2&kind=3
씨게이트, 내구성 강한 고성능 SSD ‘라씨 러기드 SSD4’ 출시,https://www.boannews.com/media/view.asp?idx=139520&page=2&kind=3
한국공항보안-인천국제공항보안, APEC 대비 항공보안 역량 제고 및 상호협력 체계 확립,https://www.boannews.com/media/view.asp?idx=139518&page=2&kind=1
[부고] 진선태 피앤피시큐어 부사장 부친상,https://www.boannews.com/media/view.asp?idx=139509&page=2&kind=1
‘2025 차세대 인증 워크숍’ 성료... Non-Human ID·PQC·디지털 지갑 등 미래 인증 논의,https://www.boannews.com/media/view.asp?idx=139508&page=2&kind=3
‘EU 출입국시스템(EES) 시행 관련 정부-여행업계 간담회’ 개최...지문으로 출입국 심사한다,https://www.boannews.com/media/view.asp?idx=139524&page=2&kind=2
노원구시설관리공단, ‘동북4구 안전동행 네트워크’ 협력의 장 마련,https://www.boannews.com/media/view.asp?idx=139523&page=2&kind=2
